CLUSTER	SILLI	POPNAME	YEAR	TIMING	REGION	LAT	LONG
8	CMSQUA10	Squakum Creek	2010	Fall	Fraser River BC	49.2332	-122.00015
1	CMHAMM10	Hamma Hamma River	2010	Summer	Hood Canal	47.5869	-123.1201
3	CMLILLIW11	Lilliwaup Creek	2011	Fall	Hood Canal	47.4635	-123.113
10	CMUW10	Hoodsport Hatchery	2010	Fall	Hood Canal	47.4043317	-123.138869
7	CMSNOH10	Snohomish River	2010	Fall	North Puget Sound	47.9433374	-122.174279
9	CMSTILL10	Stillaguamish River	2010	Fall	North Puget Sound	48.2391563	-122.37698
2	CMKALA03	Nisqually Kalama Creek	2003	Winter	South Puget Sound	47.0893	-122.6991
4	CMSHERW94F	Sherwood River Fall	1994	Fall	South Puget Sound	47.30	-122.8941
5	CMSHERW94S	Sherwood River Summer	1994	Summer	South Puget Sound	47.40	-122.8941
6	CMSKOO10	Skookum Creek	2010	Fall	North Puget Sound	48.6706682	-122.1415445
