CLUSTER	SILLI	POPNAME	YEAR	TIMING	REGION
8	CMSQUA10	Squakum Creek	2010	UNK	Fraser River BC
1	CMHAMM10	Hamma Hamma River	2010	Summer	Hood Canal
3	CMLILLIW11	Lilliwaup Creek	2011	Fall	Hood Canal
10	CMUW10	Hoodsport Hatchery	2010	Fall	Hood Canal
7	CMSNOH10	Snohomish River	2010	Fall	North Puget Sound
9	CMSTILL10	Stillaguamish River	2010	Fall	North Puget Sound
2	CMKALA03	Nisqually Kalama Creek	2003	Winter	South Puget Sound
4	CMSHERW94F	Sherwood River Fall	1994	Fall	South Puget Sound
5	CMSHERW94S	Sherwood River Summer	1994	Summer	South Puget Sound
6	CMSKOO10	Skookum Creek	2010	Fall	South Puget Sound

