# Population CMSHERW94F	CMSHERW94F_0010,CMSHERW94F_0012,CMSHERW94F_0018,CMSHERW94F_0019,CMSHERW94F_0022,CMSHERW94F_0024,CMSHERW94F_0026,CMSHERW94F_0027,CMSHERW94F_0028,CMSHERW94F_0032,CMSHERW94F_0033,CMSHERW94F_0035,CMSHERW94F_0036,CMSHERW94F_0039,CMSHERW94F_0045,CMSHERW94F_0046,CMSHERW94F_0047,CMSHERW94F_0052,CMSHERW94F_0056,CMSHERW94F_0058,CMSHERW94F_0059,CMSHERW94F_0061,CMSHERW94F_0064,CMSHERW94F_0066,CMSHERW94F_0074,CMSHERW94F_0075,CMSHERW94F_0076,CMSHERW94F_0083,CMSHERW94F_0084,CMSHERW94F_0085,CMSHERW94F_0086,CMSHERW94F_0091
# Population CMSHERW94S	CMSHERW94S_0001,CMSHERW94S_0003,CMSHERW94S_0009,CMSHERW94S_0015,CMSHERW94S_0016,CMSHERW94S_0017,CMSHERW94S_0018,CMSHERW94S_0019,CMSHERW94S_0020,CMSHERW94S_0022,CMSHERW94S_0027,CMSHERW94S_0032,CMSHERW94S_0033,CMSHERW94S_0034,CMSHERW94S_0047,CMSHERW94S_0050,CMSHERW94S_0053,CMSHERW94S_0056,CMSHERW94S_0057,CMSHERW94S_0059,CMSHERW94S_0062,CMSHERW94S_0066,CMSHERW94S_0068,CMSHERW94S_0071,CMSHERW94S_0075,CMSHERW94S_0081,CMSHERW94S_0083,CMSHERW94S_0085,CMSHERW94S_0087,CMSHERW94S_0090,CMSHERW94S_0093,CMSHERW94S_0095
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
2	2	CMSHERW94F	CMSHERW94S	c10001	0	-0.0133	0.0000	0.0000	-0.0125	0.0000	0.0000	-0.0126	0.0000	0.0000
2	21	CMSHERW94F	CMSHERW94S	c10024	0	0.0154	0.0000	0.0000	0.0034	0.0000	0.0000	0.0033	0.0000	0.0000
2	29	CMSHERW94F	CMSHERW94S	c10031	0	-0.0159	0.0000	0.0000	-0.0123	0.0000	0.0000	-0.0123	0.0000	0.0000
2	31	CMSHERW94F	CMSHERW94S	c10033	0	0.0202	0.0000	0.0000	0.0171	0.0000	0.0000	0.0171	0.0000	0.0000
2	34	CMSHERW94F	CMSHERW94S	c10036	0	-0.0170	0.0000	0.0000	-0.0351	0.0000	0.0000	-0.0352	0.0000	0.0000
2	35	CMSHERW94F	CMSHERW94S	c10037	0	-0.0142	0.0000	0.0000	-0.0134	0.0000	0.0000	-0.0134	0.0000	0.0000
2	36	CMSHERW94F	CMSHERW94S	c10038	0	-0.0106	0.0000	0.0000	-0.0032	0.0000	0.0000	-0.0033	0.0000	0.0000
2	40	CMSHERW94F	CMSHERW94S	c10043	0	0.0011	0.0000	0.0000	-0.0021	0.0000	0.0000	-0.0021	0.0000	0.0000
2	42	CMSHERW94F	CMSHERW94S	c10045	0	0.0099	0.0000	0.0000	-0.0020	0.0000	0.0000	-0.0020	0.0000	0.0000
2	43	CMSHERW94F	CMSHERW94S	c10046	0	-0.0252	0.0000	0.0000	-0.0429	0.0000	0.0000	-0.0429	0.0000	0.0000
2	46	CMSHERW94F	CMSHERW94S	c10049	0	-0.0151	0.0000	0.0000	-0.0057	0.0000	0.0000	-0.0056	0.0000	0.0000
2	57	CMSHERW94F	CMSHERW94S	c1005	0	0.0706	0.0000	0.0000	0.0575	0.0000	0.0000	0.0573	0.0000	0.0000
