# Variant positions
Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
CMHAMM10	0	18.4208	3.3263	0.0077	0.7068	0.0308	0.0007	0.5351	0.1232	0.0015	0.4649	0.1232	0.0015	0.3529	0.0274	0.0007	0.6471	0.0274	0.0007	0.3628	0.0289	0.0007	-0.6858	2.2160	0.0077
CMKALA03	0	17.7070	3.5171	0.0079	0.7056	0.0275	0.0007	0.5274	0.1103	0.0014	0.4726	0.1103	0.0014	0.3605	0.0240	0.0007	0.6395	0.0240	0.0007	0.3711	0.0254	0.0007	-0.5108	1.4118	0.0079
CMLILLIW11	0	19.2412	1.6423	0.0054	0.6940	0.0291	0.0007	0.5613	0.1188	0.0015	0.4387	0.1188	0.0015	0.3665	0.0238	0.0007	0.6335	0.0238	0.0007	0.3763	0.0250	0.0007	-0.5334	1.1695	0.0054
CMSHERW94F	0	30.3828	4.5248	0.0090	0.6930	0.0274	0.0007	0.5574	0.1125	0.0014	0.4426	0.1125	0.0014	0.3708	0.0217	0.0006	0.6292	0.0217	0.0006	0.3770	0.0224	0.0006	-0.4285	0.5770	0.0090
CMSHERW94S	0	28.3583	6.6275	0.0109	0.6969	0.0270	0.0007	0.5442	0.1108	0.0014	0.4558	0.1108	0.0014	0.3685	0.0220	0.0006	0.6315	0.0220	0.0006	0.3752	0.0227	0.0006	-0.4092	0.6260	0.0109
CMSKOO10	0	11.9004	2.3975	0.0066	0.7064	0.0283	0.0007	0.5312	0.1116	0.0014	0.4688	0.1116	0.0014	0.3583	0.0255	0.0007	0.6417	0.0255	0.0007	0.3741	0.0277	0.0007	-0.6824	2.3962	0.0066
CMSNOH10	0	14.2114	2.5456	0.0067	0.7033	0.0284	0.0007	0.5378	0.1150	0.0014	0.4622	0.1150	0.0014	0.3605	0.0244	0.0007	0.6395	0.0244	0.0007	0.3737	0.0262	0.0007	-0.5848	1.7549	0.0067
CMSQUA10	0	11.1920	2.7945	0.0071	0.7099	0.0268	0.0007	0.4996	0.1077	0.0014	0.5004	0.1077	0.0014	0.3583	0.0248	0.0007	0.6417	0.0248	0.0007	0.3753	0.0271	0.0007	-0.6108	2.5173	0.0071
CMSTILL10	0	13.2778	3.4024	0.0078	0.7094	0.0279	0.0007	0.5186	0.1127	0.0014	0.4814	0.1127	0.0014	0.3565	0.0247	0.0007	0.6435	0.0247	0.0007	0.3707	0.0266	0.0007	-0.6047	2.1043	0.0078
CMUW10	0	9.5575	2.6698	0.0069	0.7175	0.0291	0.0007	0.5049	0.1157	0.0014	0.4951	0.1157	0.0014	0.3471	0.0273	0.0007	0.6529	0.0273	0.0007	0.3668	0.0304	0.0007	-0.7946	3.3079	0.0069

