catalog_name	family	copy	LG
10003	08	x1	22
1000	01	x1	11
1000	09	x1	11
1004	08	x1	0
1004	09	x1	1
10050	01	x1	0
10050	09	x1	0
10053	01	x1	25
10068	08	x1	37
10068	08	x2	9
1011	08	x1	27
10123	01	x1	0
1012	01	x1	10
1012	08	x1	10
1012	09	x1	0
10163	08	x1	22
10194	09	x1	0
10224	01	x1	7
10224	09	x1	0
10235	01	x1	11
10235	08	x1	22
10255	08	x1	35
10280	08	x1	0
10291	08	x1	16
10291	09	x1	0
10300	08	x1	0
10305	09	x1	0
10309	09	x1	0
1034	08	x1	11
10375	08	x1	9
10381	08	x1	28
10476	09	x1	18
10494	09	x1	11
10516	09	x1	0
10531	08	x1	10
10548	08	x1	3
10561	08	x1	35
10561	09	x1	6
1060	01	x1	11
1060	08	x1	22
1060	09	x1	11
1060	09	x2	22
10646	01	x1	27
10765	01	x1	0
10765	08	x1	35
10770	09	x1	0
10829	01	x1	6
10829	09	x1	35
10834	01	x1	11
1087	01	x1	27
1087	08	x1	27
1087	09	x1	27
10892	08	x1	28
10905	08	x1	2
10923	01	x1	28
10923	08	x1	10
10977	01	x1	0
10994	01	x1	7
10994	08	x1	7
10994	09	x1	0
10998	08	x1	22
11051	01	x1	0
11051	08	x1	6
1110	01	x1	9
11178	09	x1	27
1117	09	x1	0
11190	01	x1	11
11190	08	x1	22
11241	01	x1	0
11253	01	x1	13
11282	01	x1	28
11282	08	x1	10
11292	09	x1	12
11292	09	x2	27
1134	08	x1	29
11373	01	x1	0
11413	08	x1	11
11418	09	x1	10
11418	09	x2	28
1144	08	x1	20
11556	08	x1	10
11591	01	x1	27
11599	01	x1	0
11599	09	x1	9
11630	08	x1	6
11630	09	x1	17
11643	01	x1	6
11643	08	x1	6
11704	08	x1	37
11704	08	x2	9
11704	09	x1	0
11722	01	x1	28
11722	08	x1	10
11726	01	x1	10
11726	09	x1	10
11754	09	x1	3
11757	01	x1	28
11769	08	x1	11
11769	08	x2	22
11787	09	x1	36
11832	09	x1	0
11885	08	x1	7
11885	09	x1	7
11914	01	x1	22
11931	08	x1	5
11931	09	x1	5
11931	09	x2	5
11939	09	x1	33
11950	08	x1	6
11953	09	x1	0
11968	01	x1	12
11968	01	x2	27
11968	08	x1	27
11968	09	x1	27
11998	01	x1	12
11998	08	x1	27
12047	08	x1	4
12047	08	x2	10
12048	09	x1	0
12089	09	x1	0
12108	09	x1	0
12136	08	x1	23
12144	08	x1	3
12188	01	x1	6
12188	08	x1	6
12232	08	x1	35
12232	08	x2	6
12313	09	x1	27
12330	01	x1	27
12330	08	x1	27
12342	01	x1	35
12342	08	x1	6
12400	01	x1	0
12455	01	x1	22
12455	08	x1	22
12455	09	x1	11
12456	08	x1	0
12468	08	x1	35
12468	09	x1	6
12480	09	x1	0
12543	09	x1	0
12565	08	x1	8
12571	08	x1	3
12571	09	x1	7
12588	09	x1	7
12617	01	x1	11
12617	08	x1	11
12639	01	x1	0
12709	08	x1	1
12712	08	x1	3
12765	09	x1	28
12866	01	x1	0
12866	08	x1	14
12866	09	x1	0
12947	08	x1	7
12961	08	x1	3
13046	08	x1	22
13046	09	x1	22
13134	01	x1	27
13134	08	x1	27
13134	09	x1	27
13167	08	x1	0
13167	09	x1	0
13169	08	x1	22
13169	09	x1	22
13180	08	x1	12
13180	09	x1	27
13270	08	x1	9
13297	08	x1	2
13365	08	x1	18
1338	08	x1	9
13479	09	x1	0
13534	01	x1	11
13549	01	x1	27
13549	08	x1	27
1361	08	x1	3
1364	01	x1	37
1364	08	x1	37
1364	09	x1	0
13675	01	x1	0
1367	01	x1	6
13786	01	x1	35
13808	08	x1	12
13811	09	x1	0
13831	01	x1	0
13831	09	x1	35
13853	01	x1	6
13853	09	x1	35
13892	01	x1	0
13936	01	x1	6
13978	01	x1	0
14008	08	x1	27
1400	01	x1	9
14017	01	x1	22
1408	09	x1	6
14114	08	x1	34
14140	01	x1	7
14140	08	x1	7
14140	09	x1	3
14171	09	x1	0
1425	08	x1	22
1425	08	x2	11
14279	09	x1	22
14348	01	x1	0
1453	08	x1	31
