catalog_name	family	copy	LG
1000	01	x1	0
1000	09	x1	0
10050	01	x1	0
10050	09	x1	0
10053	01	x1	0
10068	08	x1	37
10068	08	x2	9
1012	01	x1	0
1012	08	x1	10
1012	09	x1	0
10194	09	x1	0
10224	01	x1	0
10224	09	x1	0
10255	08	x1	35
10291	08	x1	16
10291	09	x1	0
10305	09	x1	0
10309	09	x1	0
10375	08	x1	9
10476	09	x1	0
10494	09	x1	0
10516	09	x1	0
10561	08	x1	35
10561	09	x1	0
1060	01	x1	0
1060	08	x1	22
1060	09	x1	0
1060	09	x2	0
10646	01	x1	0
10765	01	x1	0
10765	08	x1	35
10770	09	x1	0
10829	01	x1	0
10829	09	x1	0
10834	01	x1	0
1087	01	x1	0
1087	08	x1	27
1087	09	x1	0
10905	08	x1	2
10994	01	x1	0
10994	08	x1	7
10994	09	x1	0
11178	09	x1	0
1117	09	x1	0
11253	01	x1	0
11292	09	x1	0
11292	09	x2	0
1134	08	x1	29
11373	01	x1	0
11413	08	x1	12
11418	09	x1	0
11418	09	x2	0
1144	08	x1	20
11556	08	x1	10
11599	01	x1	0
11599	09	x1	0
11630	08	x1	6
11630	09	x1	0
11704	08	x1	37
11704	08	x2	9
11704	09	x1	0
11722	01	x1	0
11722	08	x1	10
11726	01	x1	0
11726	09	x1	0
11769	08	x1	12
11769	08	x2	22
11787	09	x1	0
11832	09	x1	0
11885	08	x1	7
11885	09	x1	0
11931	08	x1	5
11931	09	x1	0
11931	09	x2	0
11939	09	x1	0
11950	08	x1	6
11953	09	x1	0
11968	01	x1	0
11968	01	x2	0
11968	08	x1	27
11968	09	x1	0
12047	08	x1	4
12047	08	x2	10
12048	09	x1	0
12089	09	x1	0
12108	09	x1	0
12188	01	x1	0
12188	08	x1	6
12232	08	x1	35
12232	08	x2	6
12313	09	x1	0
12330	01	x1	0
12330	08	x1	27
12455	01	x1	0
12455	08	x1	22
12455	09	x1	0
12456	08	x1	0
12468	08	x1	35
12468	09	x1	0
12480	09	x1	0
12543	09	x1	0
12565	08	x1	8
12571	08	x1	3
12571	09	x1	0
12588	09	x1	0
12617	01	x1	0
12617	08	x1	12
12712	08	x1	3
12765	09	x1	0
12866	01	x1	0
12866	08	x1	14
12866	09	x1	0
13046	08	x1	22
13046	09	x1	0
13134	01	x1	0
13134	08	x1	27
13134	09	x1	0
13167	08	x1	0
13167	09	x1	0
13169	08	x1	22
13169	09	x1	0
13180	08	x1	11
13180	09	x1	0
13297	08	x1	2
13479	09	x1	0
1364	01	x1	0
1364	08	x1	37
1364	09	x1	0
13675	01	x1	0
1367	01	x1	0
13786	01	x1	0
13808	08	x1	11
13811	09	x1	0
13831	01	x1	0
13831	09	x1	0
13853	01	x1	0
13853	09	x1	0
13892	01	x1	0
13936	01	x1	0
1408	09	x1	0
14114	08	x1	34
14140	01	x1	0
14140	08	x1	7
14140	09	x1	0
14171	09	x1	0
14279	09	x1	0
14348	01	x1	0
1453	08	x1	31
1453	09	x1	0
14610	09	x1	0
14733	01	x1	0
14914	08	x1	36
14929	08	x1	27
14929	09	x1	0
15113	08	x1	1
15113	09	x1	0
15150	09	x1	0
1515	01	x1	0
1515	01	x2	0
1515	08	x1	12
1515	08	x2	2
15172	01	x1	0
15172	08	x1	12
15172	08	x2	22
15196	09	x1	0
151	09	x1	0
15227	01	x1	0
15227	09	x1	0
15395	01	x1	0
1543	01	x1	0
1543	08	x1	3
1543	09	x1	0
15502	01	x1	0
15502	01	x2	0
15540	01	x1	0
15540	08	x1	12
155	09	x1	0
15628	01	x1	0
15628	08	x1	10
15628	09	x1	0
1576	08	x1	3
16058	08	x1	4
1607	01	x1	0
1607	08	x1	12
1607	09	x1	0
16125	08	x1	7
16138	01	x1	0
16138	01	x2	0
1621	01	x1	0
