old_name	new_name	LG
55615_chum_08_x1	55615_A	28
55615_chum_08_x2	55615_B	0
55615_chum_01_x1	55615_C	0
55615_chum_01_x2	55615_D	0
55615_chum_09_x1	55615_E	0
55615_chum_09_x2	55615_F	0
78852_chum_08_x1	78852_A	1
78852_chum_08_x2	78852_B	0
78852_chum_01_x1	78852_C	0
78852_chum_01_x2	78852_D	0
78852_chum_09_x1	78852_E	0
78852_chum_09_x2	78852_F	0
55291_chum_08_x1	55291_A	22
55291_chum_08_x2	55291_B	0
55291_chum_01_x1	55291_C	0
55291_chum_01_x2	55291_D	0
55291_chum_09_x1	55291_A	22
55291_chum_09_x2	55291_E	0
5983_chum_08_x1	5983_A	37
5983_chum_08_x2	5983_B	0
5983_chum_01_x1	5983_C	0
5983_chum_01_x2	5983_D	0
5983_chum_09_x1	5983_E	0
5983_chum_09_x2	5983_F	0
55299_chum_08_x1	55299_A	0
55299_chum_08_x2	55299_B	0
55299_chum_01_x1	55299_C	0
55299_chum_01_x2	55299_D	0
55299_chum_09_x1	55299_E	7
55299_chum_09_x2	55299_F	0
24716_chum_08_x1	24716_A	0
24716_chum_08_x2	24716_B	0
24716_chum_01_x1	24716_C	0
24716_chum_01_x2	24716_D	0
24716_chum_09_x1	24716_E	0
24716_chum_09_x2	24716_F	0
65277_chum_08_x1	65277_A	0
65277_chum_08_x2	65277_B	0
65277_chum_01_x1	65277_C	0
65277_chum_01_x2	65277_D	0
65277_chum_09_x1	65277_E	0
65277_chum_09_x2	65277_F	0
51283_chum_08_x1	51283_A	0
51283_chum_08_x2	51283_B	0
51283_chum_01_x1	51283_C	12
51283_chum_01_x2	51283_D	0
51283_chum_09_x1	51283_E	0
51283_chum_09_x2	51283_F	0
43875_chum_08_x1	43875_A	0
43875_chum_08_x2	43875_B	0
43875_chum_01_x1	43875_C	20
43875_chum_01_x2	43875_D	0
43875_chum_09_x1	43875_E	0
43875_chum_09_x2	43875_F	0
61198_chum_08_x1	61198_A	35
61198_chum_08_x2	61198_B	0
61198_chum_01_x1	61198_C	0
61198_chum_01_x2	61198_D	0
61198_chum_09_x1	61198_E	0
61198_chum_09_x2	61198_F	0
6796_chum_08_x1	6796_A	0
6796_chum_08_x2	6796_B	0
6796_chum_01_x1	6796_C	32
6796_chum_01_x2	6796_D	0
6796_chum_09_x1	6796_E	0
6796_chum_09_x2	6796_F	0
6795_chum_08_x1	6795_A	6
6795_chum_08_x2	6795_B	35
6795_chum_01_x1	6795_C	0
6795_chum_01_x2	6795_D	0
6795_chum_09_x1	6795_A	6
6795_chum_09_x2	6795_E	0
42247_chum_08_x1	42247_A	0
42247_chum_08_x2	42247_B	0
42247_chum_01_x1	42247_C	0
42247_chum_01_x2	42247_D	0
42247_chum_09_x1	42247_E	27
42247_chum_09_x2	42247_F	0
27378_chum_08_x1	27378_A	0
27378_chum_08_x2	27378_B	0
27378_chum_01_x1	27378_C	0
27378_chum_01_x2	27378_D	0
27378_chum_09_x1	27378_E	6
27378_chum_09_x2	27378_F	0
14929_chum_08_x1	14929_A	27
14929_chum_08_x2	14929_B	0
14929_chum_01_x1	14929_C	0
14929_chum_01_x2	14929_D	0
14929_chum_09_x1	14929_A	27
14929_chum_09_x2	14929_E	0
51600_chum_08_x1	51600_A	28
51600_chum_08_x2	51600_B	0
51600_chum_01_x1	51600_C	0
51600_chum_01_x2	51600_D	0
51600_chum_09_x1	51600_E	0
51600_chum_09_x2	51600_F	0
55585_chum_08_x1	55585_A	27
55585_chum_08_x2	55585_B	0
55585_chum_01_x1	55585_C	0
55585_chum_01_x2	55585_D	0
55585_chum_09_x1	55585_A	27
55585_chum_09_x2	55585_E	0
32787_chum_08_x1	32787_A	2
32787_chum_08_x2	32787_B	0
32787_chum_01_x1	32787_C	0
32787_chum_01_x2	32787_D	0
32787_chum_09_x1	32787_E	0
32787_chum_09_x2	32787_F	0
60820_chum_08_x1	60820_A	0
60820_chum_08_x2	60820_B	0
60820_chum_01_x1	60820_C	0
60820_chum_01_x2	60820_D	0
60820_chum_09_x1	60820_E	0
60820_chum_09_x2	60820_F	0
16499_chum_08_x1	16499_A	0
16499_chum_08_x2	16499_B	0
16499_chum_01_x1	16499_C	0
16499_chum_01_x2	16499_D	0
16499_chum_09_x1	16499_E	0
16499_chum_09_x2	16499_F	0
76438_chum_08_x1	76438_A	12
76438_chum_08_x2	76438_B	0
76438_chum_01_x1	76438_A	12
76438_chum_01_x2	76438_C	0
76438_chum_09_x1	76438_A	12
76438_chum_09_x2	76438_D	0
3778_chum_08_x1	3778_A	0
3778_chum_08_x2	3778_B	0
3778_chum_01_x1	3778_C	0
3778_chum_01_x2	3778_D	0
3778_chum_09_x1	3778_E	0
3778_chum_09_x2	3778_F	0
51841_chum_08_x1	51841_A	0
51841_chum_08_x2	51841_B	0
51841_chum_01_x1	51841_C	6
51841_chum_01_x2	51841_D	0
51841_chum_09_x1	51841_E	0
51841_chum_09_x2	51841_F	0
36204_chum_08_x1	36204_A	0
36204_chum_08_x2	36204_B	0
36204_chum_01_x1	36204_C	0
36204_chum_01_x2	36204_D	0
36204_chum_09_x1	36204_E	11
36204_chum_09_x2	36204_F	0
52392_chum_08_x1	52392_A	0
52392_chum_08_x2	52392_B	0
52392_chum_01_x1	52392_C	0
52392_chum_01_x2	52392_D	0
52392_chum_09_x1	52392_E	14
52392_chum_09_x2	52392_F	0
43980_chum_08_x1	43980_A	0
43980_chum_08_x2	43980_B	0
43980_chum_01_x1	43980_C	0
43980_chum_01_x2	43980_D	0
43980_chum_09_x1	43980_E	22
43980_chum_09_x2	43980_F	0
65477_chum_08_x1	65477_A	0
65477_chum_08_x2	65477_B	0
65477_chum_01_x1	65477_C	0
65477_chum_01_x2	65477_D	0
65477_chum_09_x1	65477_E	6
65477_chum_09_x2	65477_F	0
61991_chum_08_x1	61991_A	0
61991_chum_08_x2	61991_B	0
61991_chum_01_x1	61991_C	0
61991_chum_01_x2	61991_D	0
61991_chum_09_x1	61991_E	29
61991_chum_09_x2	61991_F	0
57616_chum_08_x1	57616_A	0
57616_chum_08_x2	57616_B	0
57616_chum_01_x1	57616_C	0
57616_chum_01_x2	57616_D	0
57616_chum_09_x1	57616_E	0
57616_chum_09_x2	57616_F	0
46705_chum_08_x1	46705_A	0
46705_chum_08_x2	46705_B	0
46705_chum_01_x1	46705_C	0
46705_chum_01_x2	46705_D	0
46705_chum_09_x1	46705_E	0
46705_chum_09_x2	46705_F	0
26395_chum_08_x1	26395_A	0
26395_chum_08_x2	26395_B	0
26395_chum_01_x1	26395_C	0
26395_chum_01_x2	26395_D	0
26395_chum_09_x1	26395_E	35
26395_chum_09_x2	26395_F	0
63930_chum_08_x1	63930_A	0
63930_chum_08_x2	63930_B	0
63930_chum_01_x1	63930_C	0
63930_chum_01_x2	63930_D	0
63930_chum_09_x1	63930_E	0
63930_chum_09_x2	63930_F	0
11769_chum_08_x1	11769_A	12
11769_chum_08_x2	11769_B	22
11769_chum_01_x1	11769_C	0
11769_chum_01_x2	11769_D	0
11769_chum_09_x1	11769_E	0
11769_chum_09_x2	11769_F	0
75830_chum_08_x1	75830_A	34
75830_chum_08_x2	75830_B	0
75830_chum_01_x1	75830_C	0
75830_chum_01_x2	75830_D	0
75830_chum_09_x1	75830_E	0
75830_chum_09_x2	75830_F	0
43055_chum_08_x1	43055_A	3
43055_chum_08_x2	43055_B	0
43055_chum_01_x1	43055_C	0
43055_chum_01_x2	43055_D	0
43055_chum_09_x1	43055_E	0
43055_chum_09_x2	43055_F	0
69777_chum_08_x1	69777_A	12
69777_chum_08_x2	69777_B	0
69777_chum_01_x1	69777_A	12
69777_chum_01_x2	69777_C	0
69777_chum_09_x1	69777_A	12
69777_chum_09_x2	69777_D	0
2440_chum_08_x1	2440_A	0
2440_chum_08_x2	2440_B	0
2440_chum_01_x1	2440_C	0
2440_chum_01_x2	2440_D	0
2440_chum_09_x1	2440_E	0
2440_chum_09_x2	2440_F	0
63849_chum_08_x1	63849_A	2
63849_chum_08_x2	63849_B	0
63849_chum_01_x1	63849_C	0
63849_chum_01_x2	63849_D	0
63849_chum_09_x1	63849_E	0
63849_chum_09_x2	63849_F	0
63021_chum_08_x1	63021_A	9
63021_chum_08_x2	63021_B	0
63021_chum_01_x1	63021_C	0
63021_chum_01_x2	63021_D	0
63021_chum_09_x1	63021_E	0
63021_chum_09_x2	63021_F	0
64295_chum_08_x1	64295_A	0
64295_chum_08_x2	64295_B	0
64295_chum_01_x1	64295_C	12
64295_chum_01_x2	64295_D	0
64295_chum_09_x1	64295_E	0
64295_chum_09_x2	64295_F	0
64059_chum_08_x1	64059_A	12
64059_chum_08_x2	64059_B	0
64059_chum_01_x1	64059_C	0
64059_chum_01_x2	64059_D	0
64059_chum_09_x1	64059_E	0
64059_chum_09_x2	64059_F	0
60005_chum_08_x1	60005_A	10
60005_chum_08_x2	60005_B	0
60005_chum_01_x1	60005_C	0
60005_chum_01_x2	60005_D	0
60005_chum_09_x1	60005_E	28
60005_chum_09_x2	60005_F	0
56909_chum_08_x1	56909_A	2
56909_chum_08_x2	56909_B	0
56909_chum_01_x1	56909_C	0
56909_chum_01_x2	56909_D	0
56909_chum_09_x1	56909_E	12
56909_chum_09_x2	56909_F	0
42635_chum_08_x1	42635_A	0
42635_chum_08_x2	42635_B	0
42635_chum_01_x1	42635_C	0
42635_chum_01_x2	42635_D	0
42635_chum_09_x1	42635_E	0
42635_chum_09_x2	42635_F	0
16812_chum_08_x1	16812_A	28
16812_chum_08_x2	16812_B	0
16812_chum_01_x1	16812_C	10
16812_chum_01_x2	16812_D	0
16812_chum_09_x1	16812_A	28
16812_chum_09_x2	16812_E	0
64903_chum_08_x1	64903_A	0
64903_chum_08_x2	64903_B	0
64903_chum_01_x1	64903_C	0
64903_chum_01_x2	64903_D	0
64903_chum_09_x1	64903_E	0
64903_chum_09_x2	64903_F	0
57059_chum_08_x1	57059_F	0
57059_chum_08_x2	57059_A	0
57059_chum_01_x1	57059_B	0
57059_chum_01_x2	57059_C	0
57059_chum_09_x1	57059_D	27
57059_chum_09_x2	57059_E	27
57984_chum_08_x1	57984_A	0
57984_chum_08_x2	57984_B	0
57984_chum_01_x1	57984_C	0
57984_chum_01_x2	57984_D	0
57984_chum_09_x1	57984_E	0
57984_chum_09_x2	57984_F	0
58679_chum_08_x1	58679_D	36
58679_chum_08_x2	58679_E	36
58679_chum_01_x1	58679_F	0
58679_chum_01_x2	58679_A	0
58679_chum_09_x1	58679_A	36
58679_chum_09_x2	58679_B	36
54555_chum_08_x1	54555_A	2
54555_chum_08_x2	54555_B	0
54555_chum_01_x1	54555_C	0
54555_chum_01_x2	54555_D	0
54555_chum_09_x1	54555_E	0
54555_chum_09_x2	54555_F	0
54552_chum_08_x1	54552_A	0
54552_chum_08_x2	54552_B	0
54552_chum_01_x1	54552_C	0
54552_chum_01_x2	54552_D	0
54552_chum_09_x1	54552_E	0
54552_chum_09_x2	54552_F	0
42833_chum_08_x1	42833_A	6
42833_chum_08_x2	42833_B	0
42833_chum_01_x1	42833_A	6
42833_chum_01_x2	42833_C	0
42833_chum_09_x1	42833_D	0
42833_chum_09_x2	42833_E	0
24080_chum_08_x1	24080_A	10
24080_chum_08_x2	24080_B	0
24080_chum_01_x1	24080_C	0
24080_chum_01_x2	24080_D	0
24080_chum_09_x1	24080_E	0
24080_chum_09_x2	24080_F	0
46510_chum_08_x1	46510_A	12
46510_chum_08_x2	46510_B	0
46510_chum_01_x1	46510_C	0
46510_chum_01_x2	46510_D	0
46510_chum_09_x1	46510_E	0
46510_chum_09_x2	46510_F	0
18850_chum_08_x1	18850_A	0
18850_chum_08_x2	18850_B	0
18850_chum_01_x1	18850_C	0
18850_chum_01_x2	18850_D	0
18850_chum_09_x1	18850_E	27
18850_chum_09_x2	18850_F	0
41231_chum_08_x1	41231_A	0
41231_chum_08_x2	41231_B	0
41231_chum_01_x1	41231_C	0
41231_chum_01_x2	41231_D	0
41231_chum_09_x1	41231_E	0
41231_chum_09_x2	41231_F	0
12232_chum_08_x1	12232_A	35
12232_chum_08_x2	12232_B	6
12232_chum_01_x1	12232_C	0
12232_chum_01_x2	12232_D	0
12232_chum_09_x1	12232_E	0
12232_chum_09_x2	12232_F	0
42121_chum_08_x1	42121_A	0
42121_chum_08_x2	42121_B	0
42121_chum_01_x1	42121_C	0
42121_chum_01_x2	42121_D	0
42121_chum_09_x1	42121_E	11
42121_chum_09_x2	42121_F	0
66772_chum_08_x1	66772_A	35
66772_chum_08_x2	66772_B	0
66772_chum_01_x1	66772_C	0
66772_chum_01_x2	66772_D	0
66772_chum_09_x1	66772_A	35
66772_chum_09_x2	66772_E	0
41699_chum_08_x1	41699_A	0
41699_chum_08_x2	41699_B	0
41699_chum_01_x1	41699_C	0
41699_chum_01_x2	41699_D	0
41699_chum_09_x1	41699_E	0
41699_chum_09_x2	41699_F	0
33213_chum_08_x1	33213_A	0
33213_chum_08_x2	33213_B	0
33213_chum_01_x1	33213_C	0
33213_chum_01_x2	33213_D	0
33213_chum_09_x1	33213_E	27
33213_chum_09_x2	33213_F	0
10561_chum_08_x1	10561_A	35
10561_chum_08_x2	10561_B	0
10561_chum_01_x1	10561_C	0
10561_chum_01_x2	10561_D	0
10561_chum_09_x1	10561_E	6
10561_chum_09_x2	10561_F	0
38640_chum_08_x1	38640_A	29
38640_chum_08_x2	38640_B	0
38640_chum_01_x1	38640_C	0
38640_chum_01_x2	38640_D	0
38640_chum_09_x1	38640_E	0
38640_chum_09_x2	38640_F	0
53514_chum_08_x1	53514_A	0
53514_chum_08_x2	53514_B	0
53514_chum_01_x1	53514_C	13
53514_chum_01_x2	53514_D	0
53514_chum_09_x1	53514_E	0
53514_chum_09_x2	53514_F	0
1621_chum_08_x1	1621_A	26
1621_chum_08_x2	1621_B	0
1621_chum_01_x1	1621_A	26
1621_chum_01_x2	1621_C	0
1621_chum_09_x1	1621_A	26
1621_chum_09_x2	1621_D	0
30415_chum_08_x1	30415_A	7
30415_chum_08_x2	30415_B	0
30415_chum_01_x1	30415_C	0
30415_chum_01_x2	30415_D	0
30415_chum_09_x1	30415_E	0
30415_chum_09_x2	30415_F	0
67035_chum_08_x1	67035_A	0
67035_chum_08_x2	67035_B	0
67035_chum_01_x1	67035_C	0
67035_chum_01_x2	67035_D	0
67035_chum_09_x1	67035_E	0
67035_chum_09_x2	67035_F	0
71626_chum_08_x1	71626_A	0
71626_chum_08_x2	71626_B	0
71626_chum_01_x1	71626_C	0
71626_chum_01_x2	71626_D	0
71626_chum_09_x1	71626_E	6
71626_chum_09_x2	71626_F	0
54390_chum_08_x1	54390_A	0
54390_chum_08_x2	54390_B	0
54390_chum_01_x1	54390_C	0
54390_chum_01_x2	54390_D	0
54390_chum_09_x1	54390_E	6
54390_chum_09_x2	54390_F	0
71628_chum_08_x1	71628_A	0
71628_chum_08_x2	71628_B	0
71628_chum_01_x1	71628_C	0
71628_chum_01_x2	71628_D	0
71628_chum_09_x1	71628_E	0
