LG	locus	cm
1	25453_x1	0
1	11593_x1	1.088
1	4311_x1	1.329
1	12584_x1	1.329
1	51260_x1	1.329
1	7032_x1	1.329
1	47463_x1	1.513
1	9532_x1	1.793
1	10072_x1	2.016
1	83187_x1	2.173
1	47644_x1	2.332
1	41772_x1	2.488
1	44430_x1	2.651
1	54045_x1	2.769
1	68091_x1	2.769
1	22237_x1	2.98
1	44750_x1	3.39
1	56875_x1	3.742
1	43215_x1	3.932
1	73675_x1	4.11
1	67209_x2	4.419
1	67209_x1	4.698
1	27947_x1	4.807
1	70960_x1	4.807
1	28714_x1	4.807
1	57789_x1	4.807
1	3745_x1	4.923
1	70679_x1	4.923
1	88177_x1	4.923
1	43857_x1	4.923
1	56222_x1	4.923
1	18890_x1	4.923
1	60227_x1	4.923
1	12528_x1	4.923
1	35236_x1	4.923
1	57161_x1	4.923
1	8781_x1	4.923
1	60553_x1	4.923
1	46019_x1	4.923
1	45968_x1	4.923
1	65900_x1	5.496
1	57726_x1	5.496
1	40038_x1	5.496
1	64062_x1	5.496
1	48159_x1	5.599
1	55627_x1	6.142
1	16852_x1	6.142
1	52547_x1	7.286
1	60000_x1	7.286
1	73997_x1	7.286
1	18734_x1	7.286
1	45664_x1	7.286
1	12248_x1	7.286
1	53263_x1	7.286
1	46272_x1	7.286
1	9169_x1	7.397
1	37174_x1	8.486
1	25287_x1	8.486
1	50689_x1	8.486
1	58072_x1	8.486
1	57039_x1	8.486
1	67913_x1	8.603
1	72524_x1	8.772
1	77901_x1	8.968
1	9109_x1	9.504
1	7407_x1	11.273
1	52879_x1	11.273
1	15113_x1	11.273
1	43911_x1	12.464
1	58942_x1	12.464
1	56947_x1	12.464
1	51410_x1	13.61
1	60681_x1	13.61
1	7414_x1	13.74
1	77145_x1	13.959
1	53595_x1	14.379
1	12709_x1	15.901
1	9323_x1	17.451
1	49938_x1	17.835
1	57829_x1	18.273
1	16191_x1	18.645
1	57254_x1	18.982
1	22773_x1	19.292
1	77928_x1	19.593
1	45764_x1	19.929
1	66995_x1	19.929
1	57323_x1	20.543
1	11948_x1	22.961
1	40397_x1	23.143
1	55944_x1	23.321
1	55481_x1	23.503
1	73562_x1	23.698
1	64801_x1	26.979
1	78557_x1	26.979
1	36168_x1	31.624
1	55397_x1	31.784
1	54449_x1	31.895
1	24769_x1	32.02
1	42932_x1	32.153
1	11655_x1	32.312
1	19306_x1	33.988
1	4966_x1	34.114
1	65470_x1	41.137
1	3272_x1	41.389
1	55659_x1	41.663
1	56094_x1	41.944
1	56986_x1	42.315
1	6137_x1	42.758
1	96536_x1	43.197
1	63217_x1	43.674
1	55682_x1	44.549
1	54318_x1	46.429
1	10727_x1	46.849
1	48343_x1	47.166
1	22384_x1	47.453
1	73115_x1	47.75
1	15523_x1	48.082
1	62888_x1	53.064
1	35715_x1	53.433
1	62110_x1	54.99
1	52412_x1	55.35
1	30992_x1	56.063
1	4300_x1	64.828
1	56462_x1	65.06
1	61067_x1	65.249
1	48961_x1	66.435
1	78852_x1	66.635
1	20917_x1	66.781
1	55549_x1	66.912
1	56643_x1	66.912
1	58023_x1	66.912
1	47562_x1	66.912
1	68439_x1	66.912
1	46889_x1	67.034
1	3144_x1	67.428
1	10081_x1	67.785
1	63019_x1	67.785
1	73069_x1	67.785
1	10566_x1	67.785
1	7971_x1	67.924
1	12645_x1	68.134
1	2509_x1	70.365
1	63082_x1	70.482
1	54281_x1	71.631
1	42707_x1	71.631
1	62490_x1	73.349
1	68463_x1	74.412
1	75392_x1	74.602
1	35168_x1	74.602
1	72924_x1	74.602
1	47080_x1	74.719
1	12529_x1	74.833
1	22659_x1	74.833
1	10807_x1	74.833
1	11994_x1	75.44
1	53562_x1	77.186
1	49027_x1	77.769
1	20947_x1	77.769
1	27571_x1	77.769
1	63151_x1	77.769
1	7359_x1	77.769
1	54550_x1	77.769
1	1759_x1	77.769
1	14429_x1	77.769
1	1794_x1	77.769
1	77407_x1	77.769
1	10106_x1	77.872
1	41372_x1	77.872
1	73769_x1	78.761
1	65391_x1	79.33
1	3417_x1	79.564
1	44994_x1	79.819
1	81913_x1	80.664
1	19027_x1	81.752
1	65860_x1	81.934
1	8010_x1	82.087
1	37217_x1	82.214
1	53010_x1	82.351
1	13648_x1	85.776
1	37616_x1	88.112
1	9464_x1	89.756
1	46239_x1	92.27
1	55092_x1	92.27
1	35287_x1	92.27
1	3868_x1	92.27
1	12730_x1	92.27
1	58000_x1	94.563
1	57488_x1	94.563
1	45314_x1	94.801
1	52804_x1	99.895
1	53246_x1	100.519
1	29153_x1	101.303
1	53888_x1	107.109
1	59844_x1	107.109
1	36199_x1	107.109
1	22031_x1	107.808
1	46169_x1	108.297
1	43686_x1	108.297
1	13122_x1	108.297
1	7104_x1	108.297
1	12899_x1	108.297
1	25034_x1	108.447
1	67235_x1	110.703
1	3557_x1	110.703
1	60182_x1	111.395
1	22342_x1	111.676
1	46426_x1	111.82
1	50505_x1	112.016
1	346_x1	112.27
1	58095_x1	112.547
1	23651_x1	112.818
1	55647_x1	113.127
1	68360_x1	113.441
1	7909_x1	116.641
1	4195_x1	117.876
1	3145_x1	117.876
1	44837_x1	117.876
1	70558_x1	118.25
1	41486_x1	118.517
1	40127_x1	118.745
1	7330_x1	119.056
1	27524_x1	119.33
1	33494_x1	119.548
1	64159_x1	119.77
1	9183_x1	120.02
1	57572_x1	120.313
1	18983_x1	120.716
1	44027_x1	123.482
1	4977_x1	123.482
1	47317_x1	123.482
1	5567_x1	123.482
1	13594_x1	123.482
1	30110_x1	123.482
1	44761_x1	123.482
1	50581_x1	126.347
1	6295_x1	126.347
1	69396_x1	126.347
1	48403_x1	126.347
1	8218_x1	126.555
1	10872_x1	126.844
1	7162_x1	127.129
1	14507_x1	127.414
1	56370_x1	127.699
1	14211_x1	127.985
1	48557_x1	128.272
1	8505_x1	128.547
1	50585_x1	128.547
1	48681_x1	128.547
1	46586_x1	128.547
1	26770_x1	128.547
1	41494_x1	128.547
1	47255_x1	128.547
1	22843_x1	128.547
1	7857_x1	128.547
1	45516_x1	128.547
1	12098_x1	128.547
1	67090_x1	128.547
1	61017_x1	128.547
1	49380_x1	128.547
1	53501_x1	128.547
1	20351_x1	128.547
1	69938_x1	128.547
1	67369_x1	128.547
1	9578_x1	128.547
1	7769_x1	128.547
1	2429_x1	128.547
1	20003_x1	128.547
1	73812_x1	128.547
1	42329_x1	128.547
1	3711_x1	128.547
1	27139_x1	128.547
1	19441_x1	128.547
1	72849_x1	128.547
1	71219_x1	128.547
1	61961_x1	128.547
1	54310_x1	128.547
1	70226_x1	128.547
1	56945_x1	128.547
1	81615_x1	128.547
1	14160_x1	128.547
1	44288_x1	128.547
1	5612_x1	128.547
1	51703_x1	128.547
1	83217_x1	128.669
1	18533_x1	128.841
1	21965_x1	129.023
1	5737_x1	129.252
2	59060_x1	0
2	45142_x1	1.609
2	17026_x1	2.159
2	62172_x2	2.159
2	41047_x2	2.159
2	64686_x1	2.159
2	69566_x1	4.04
2	64767_x1	5.737
2	3900_x1	6.891
2	37859_x1	7.476
2	56756_x1	7.476
2	52800_x1	8.048
2	12947_x1	8.62
2	Oke_U507-87_x1	8.62
2	24225_x1	8.771
2	41482_x1	9.06
2	522_x1	9.603
2	52678_x1	9.603
2	58339_x1	9.603
2	42855_x1	9.603
2	47738_x1	9.603
2	7868_x1	9.603
2	18879_x1	9.603
2	48256_x1	9.603
2	65073_x1	9.603
2	72285_x1	10.151
2	61395_x1	10.491
2	71365_x1	10.678
2	53677_x1	10.678
2	54402_x1	10.678
2	53166_x1	10.678
2	59090_x1	10.678
2	72572_x1	10.678
2	4439_x1	10.678
2	60525_x1	10.678
2	75738_x1	10.678
2	59892_x1	10.678
2	48296_x1	10.678
2	21490_x1	10.84
2	58267_x1	11.453
2	45687_x1	12.155
2	49875_x2	12.671
2	75551_x1	12.671
2	2827_x1	13.155
2	681_x1	14.477
2	69078_x1	18.185
2	50764_x1	18.487
2	21787_x1	18.818
2	1118_x1	19.151
2	59370_x1	19.471
2	58341_x1	19.765
2	46407_x1	20.028
2	11947_x1	20.223
2	40429_x1	20.223
2	45053_x1	20.405
2	76921_x1	25.596
2	2748_x1	25.847
2	7293_x1	26.055
2	52174_x1	27.616
2	61431_x1	28.066
2	56098_x1	28.066
2	64081_x1	28.066
2	55129_x1	30.723
2	47120_x1	30.934
2	40334_x1	31.29
2	34069_x1	31.816
2	23965_x1	31.816
2	854_x1	31.816
2	54193_x1	32.012
2	68384_x1	32.396
2	73497_x1	35.384
2	58938_x1	35.586
2	66081_x1	35.77
2	56950_x1	35.96
2	10308_x1	36.156
2	73484_x1	36.599
2	85073_x1	48.238
2	56916_x1	49.034
2	59700_x1	51.09
2	78505_x1	56.431
2	14534_x1	58.037
2	28999_x1	58.788
2	28883_x1	58.906
2	220_x1	58.906
2	46611_x1	58.906
2	2258_x1	58.906
2	17267_x1	58.906
2	50_x1	59.199
2	55371_x1	59.757
2	22012_x1	60.382
2	3432_x1	61.222
2	47541_x1	62.204
2	31869_x1	71.431
2	75367_x1	71.581
2	43814_x1	71.707
2	21955_x1	71.83
2	37573_x1	71.973
2	59560_x1	76.966
2	6772_x1	77.312
2	48733_x1	77.654
2	66144_x1	78.056
2	57438_x1	78.421
2	65395_x1	78.726
2	64796_x1	82.423
2	9375_x1	82.423
2	73475_x1	82.423
2	47893_x1	82.423
2	26715_x1	82.688
2	4982_x1	83.01
2	61429_x1	83.434
2	51846_x1	84.146
2	60321_x1	84.979
2	11095_x1	85.538
2	44450_x1	85.538
2	43421_x1	85.538
2	24585_x1	85.666
2	4611_x1	85.823
2	60823_x1	85.954
2	49538_x1	86.09
2	8906_x1	86.378
2	15944_x1	86.378
2	59109_x1	86.378
2	23912_x1	86.378
2	69779_x1	86.378
2	4354_x1	87.115
2	68450_x1	88.089
2	35410_x1	88.089
2	48553_x1	88.2
2	53275_x1	89.606
2	44050_x1	91.447
2	52619_x1	91.643
2	19426_x1	91.967
2	10400_x1	98.277
2	72867_x1	98.277
2	52293_x1	98.277
2	27861_x1	98.277
2	37078_x1	98.277
2	1230_x1	99.526
2	57934_x1	102.087
2	45644_x1	102.74
2	52281_x1	103.089
2	50669_x1	103.506
2	11624_x1	103.844
2	54700_x1	104.19
2	61880_x1	104.531
2	59986_x1	104.874
2	7998_x1	106.94
2	59003_x1	106.94
2	Oke_U1012-60_x1	108.094
2	Oke_U1012-241_x1	108.094
