LEPname	fam_08
4584	True
7377	True
6722	True
10081	True
11988	False
11631	False
8162	True
9588	True
9587	True
2815	False
2000	False
4612	False
5430	False
5153	False
11817	False
11810	True
10623	True
2712	False
531	True
7598	False
8242	True
18	False
515	True
6171	True
5460	False
7457	True
3758	True
4865	True
4317	True
3525	True
3998	False
7585	False
8970	False
5563	False
7124	True
468	False
5082	False
10673	True
6552	True
6405	False
11895	True
7427	True
11252	True
2352	False
7667	False
9700	False
10440	False
11887	True
6455	False
942	False
10682	False
7866	True
4762	True
7394	True
11117	True
8270	False
10696	True
553	True
2067	False
11257	True
5108	True
9551	True
7607	False
11941	False
5931	False
4070	True
10605	False
7190	False
7487	True
7086	False
9124	True
11354	False
4547	True
6824	False
7060	False
2298	True
3615	True
348	True
1583	False
7220	True
9268	True
8411	False
12020	False
3258	True
7405	True
7132	False
1020	False
2020	True
7137	True
6789	True
5608	False
10533	False
8727	False
8571	False
3065	True
6373	False
4557	False
7289	False
5735	False
539	False
5448	True
1821	False
7331	True
125	False
8750	True
19	False
11494	True
3111	True
9782	True
11409	True
2328	False
4503	True
6779	True
9789	False
8648	False
10501	False
516	False
5365	False
10864	False
6621	True
28	False
5747	True
6853	False
10610	False
1315	False
2672	False
831	False
10635	False
9255	False
4958	False
1545	True
9363	True
6484	False
3727	True
705	False
3780	True
6975	False
3875	True
3528	True
7647	True
7531	False
5014	False
3617	True
5179	True
621	True
10193	False
591	False
4710	True
9592	False
3561	True
2016	True
9768	False
7672	True
3456	False
7128	True
5238	False
8150	True
4360	False
3112	True
4263	True
4936	True
3348	False
10567	True
2662	False
7554	False
8994	True
5407	True
4788	False
5896	False
7135	True
699	True
5618	True
184	True
7275	True
849	True
10290	True
5648	False
9934	True
802	False
8737	True
9617	True
11597	True
4837	True
11211	True
1738	True
2241	False
11632	True
6259	True
7225	True
6605	False
4265	True
5810	True
2564	False
10219	False
10022	True
2080	True
8341	True
6784	False
5667	False
3716	False
1607	True
2601	False
11356	False
10643	False
7393	False
10493	True
10063	False
796	False
1692	False
5054	True
11568	True
8536	False
2017	True
3902	True
10437	True
781	True
11538	False
9362	True
8992	False
2693	False
10529	True
11890	True
9324	False
2453	False
5817	False
6632	False
11893	True
7419	True
9575	False
5825	True
485	False
4024	True
8729	True
4806	False
7008	True
5803	True
6923	False
6490	True
5320	True
842	True
11938	False
3837	False
283	False
4482	True
9443	True
8892	False
5827	True
8558	False
11370	True
8608	False
6246	True
10177	False
6840	False
2963	False
10485	True
4413	True
10287	True
11562	True
9513	False
10306	False
11965	True
3287	False
4673	True
4959	False
8364	False
8382	False
2059	True
1168	True
4548	True
643	True
4173	False
1509	True
11223	False
1857	False
3357	False
11590	True
9802	True
847	False
241	False
7770	True
10302	False
10015	False
9296	False
1961	False
11445	True
215	False
6717	False
3212	True
5025	True
10262	False
2004	True
9679	True
6872	False
6380	False
10561	True
10799	False
4658	True
1383	True
11399	True
8205	True
7311	True
6353	False
8809	True
4041	True
7494	True
2496	True
2543	True
2619	False
4821	True
9159	False
6877	False
1877	True
10372	True
11045	False
7027	True
192	False
9399	False
6165	False
4693	True
8340	True
2254	False
317	True
11613	False
10312	False
7690	False
5794	False
7517	True
7752	False
6996	True
8762	True
3027	True
3732	True
6046	True
6782	True
11041	True
8104	True
8662	False
6175	False
2985	True
1038	False
1350	False
8279	False
10331	False
2199	False
3404	False
8669	True
7280	True
6248	False
4385	True
5906	False
11703	True
4507	True
4688	False
9956	False
11707	False
2508	False
2537	True
10228	False
4478	False
7576	True
5651	False
7713	True
9795	False
2057	True
8709	True
11451	True
8713	False
5074	False
8449	False
6927	True
647	True
1992	True
1354	True
11284	True
9545	True
11790	True
8217	True
5616	False
4055	False
7314	False
6694	True
9601	True
7820	True
1995	True
7417	True
7597	False
10260	False
7629	False
3263	False
11184	False
8922	True
8618	True
5262	True
7035	False
10269	True
8428	False
7657	False
2777	True
7905	True
1308	True
2538	True
6515	True
5807	True
191	True
6858	False
3054	False
1419	False
9943	False
953	True
1646	True
8396	False
1347	True
8062	False
5270	False
10468	False
2437	False
3332	False
5562	True
8875	False
8305	False
2050	False
2230	True
2282	False
9023	True
11974	False
10517	False
9179	True
6243	True
7869	False
9366	False
7303	False
9190	True
6392	True
48	True
6846	False
162	True
4245	True
1356	True
2334	True
1745	True
4196	False
5427	True
2821	True
10911	True
6943	True
5086	False
11541	False
354	False
2362	True
10837	False
9310	False
5548	False
8046	True
3995	True
4628	False
4433	True
4719	False
6053	True
9225	False
555	False
7286	True
333	False
376	False
11684	True
2486	True
6753	False
3369	True
11120	False
10174	False
7790	False
1726	True
4816	True
4241	False
8446	False
5701	True
10506	False
1536	True
9722	True
1572	False
6844	False
1693	True
5464	True
5295	False
11946	False
2501	False
6376	True
5064	False
6807	False
12058	False
11993	False
10534	True
1363	False
7211	True
9572	False
6557	False
11546	False
1780	False
7801	True
4700	True
260	True
1909	False
8102	False
10956	False
8056	False
8730	False
5441	True
9751	False
1814	True
6642	True
8775	False
7424	False
4006	False
8006	False
1480	False
9433	False
3715	True
8920	False
8966	False
3436	False
8107	True
11479	True
11552	False
4448	True
8199	False
1668	True
6281	True
617	True
2904	False
156	True
11626	True
2545	False
4736	False
251	False
2140	True
6676	False
10792	False
8770	True
7002	True
6382	False
8825	False
11567	False
10394	True
7092	False
10281	False
6254	True
6078	False
8434	False
10620	True
7787	False
11049	False
6732	False
9775	True
267	False
9685	False
7749	True
6719	True
4810	True
9863	False
6074	True
5875	False
3083	False
4774	True
11981	True
1172	True
817	True
6424	True
556	True
7047	True
6018	False
6200	True
3607	True
7976	False
5160	True
4804	True
9017	False
6727	False
8060	False
896	True
1257	False
1781	False
11289	False
9596	True
8132	False
3574	True
6915	True
1183	True
5884	False
9489	False
11663	False
8549	True
974	True
4691	True
4039	True
9705	True
602	True
6697	False
4227	False
3284	True
6238	False
11970	True
1007	True
8622	False
121	True
9339	True
527	True
7003	True
6913	True
9041	True
10398	True
863	True
9529	False
703	False
10945	False
4631	False
3619	True
3143	False
9762	False
5912	True
8847	False
4937	False
5783	False
9462	False
2224	True
10305	True
11129	True
8436	True
