indID	cov
CMSHERW94S_0009	2831500
CMUW10_0007	440163
CMSTILL10_0036	257778
CMKALA03_0049	864623
CMKALA03_0008	3210738
CMSHERW94S_0087	2313801
CMSQUA10_0001	563832
CMSHERW94S_0059	1834260
CMSKOO10_0004	1865640
CMSQUA10_0052	198990
CMSHERW94S_0034	4046009
CMKALA03_0009	5216757
CMSNOH10_0026	1471970
CMSHERW94S_0017	1135629
CMUW10_0009	714300
CMSHERW94F_0024	3554740
CMSKOO10_0013	88019
CMSHERW94F_0091	2881109
CMSKOO10_0018	1994114
CMHAMM10_0040	3669590
CMHAMM10_0017	772090
CMSHERW94S_0003	1820920
CMSNOH10_0090	1530849
CMSHERW94S_0022	3660313
CMSKOO10_0011	2155284
CMKALA03_0004	4130214
CMSHERW94S_0019	1340344
CMSTILL10_0037	393342
CMSHERW94S_0020	3047096
CMSHERW94S_0016	2324740
CMSHERW94S_0083	1639770
CMSHERW94S_0050	1546705
CMHAMM10_0005	514674
CMSNOH10_0038	2177748
CMLILLIW11_0077	2604329
CMHAMM10_0016	1380537
CMKALA03_0024	4238085
CMKALA03_0050	1744912
CMUW10_0004	326040
CMSTILL10_0009	717780
CMLILLIW11_0095	3114021
CMUW10_0008	705702
CMLILLIW11_0035	2588088
CMSKOO10_0010	2101052
CMSKOO10_0040	2335745
CMUW10_0001	509573
CMSHERW94F_0086	2796665
CMSHERW94F_0074	2459263
CMLILLIW11_0063	3166372
CMSHERW94S_0032	3202595
CMSKOO10_0035	191282
CMSTILL10_0055	729290
CMSHERW94S_0047	2511028
CMHAMM10_0026	602655
CMSHERW94F_0084	1988192
CMHAMM10_0008	907988
CMSHERW94F_0076	2702737
CMLILLIW11_0080	1814713
CMSQUA10_0016	1572194
CMSKOO10_0041	129399
CMSHERW94F_0064	2486948
CMSKOO10_0012	1037364
CMKALA03_0044	276206
CMKALA03_0037	268805
CMLILLIW11_0032	3082657
CMLILLIW11_0053	1632823
CMUW10_0015	267015
CMUW10_0010	271124
CMSNOH10_0062	1228997
CMSHERW94S_0057	3793389
CMSHERW94F_0039	3726447
CMSNOH10_0058	999405
CMHAMM10_0030	6105602
CMSHERW94F_0035	3539987
CMSKOO10_0033	380428
CMSHERW94F_0059	3583917
CMSNOH10_0027	1554136
CMLILLIW11_0037	4153540
CMSNOH10_0105	309182
CMUW10_0003	324683
CMSKOO10_0006	30543
CMKALA03_0046	1411170
CMSHERW94F_0019	2310567
CMKALA03_0006	1302758
CMSQUA10_0055	17743
CMHAMM10_0025	746735
CMUW10_0012	265893
CMSTILL10_0006	476226
CMHAMM10_0024	454723
CMSQUA10_0036	224318
CMSNOH10_0085	217617
CMSKOO10_0007	2045062
CMSTILL10_0033	274787
CMSTILL10_0020	575946
CMSTILL10_0029	518334
CMSKOO10_0008	828373
CMLILLIW11_0031	2053360
CMSQUA10_0008	95363
CMSHERW94F_0083	1839478
CMKALA03_0012	847307
CMSNOH10_0104	603384
