FID	CLUSTER	POPNAME	YEAR	TIMING	REGION	IID	F_MISS	O_het	F
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0002	0.1057	0.289566236811	0.1323
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0005	0.2353	0.27072347606	0.1892
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0008	0.1362	0.304201680672	0.08892
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0011	0.2086	0.277489045144	0.1679
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0012	0.1541	0.298913043478	0.1055
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0014	0.08823	0.310924369748	0.07283
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0015	0.171	0.308103901158	0.07564
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0016	0.1012	0.319903086863	0.0456
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0017	0.1605	0.320876164857	0.0398
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0018	0.143	0.306135893092	0.08452
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0022	0.2172	0.284360189573	0.1456
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0024	0.2411	0.272505048358	0.1818
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0025	0.1577	0.315875143623	0.05427
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0026	0.1946	0.294412177048	0.1207
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0027	0.174	0.296035930482	0.115
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0029	0.1157	0.327131782946	0.02397
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0030	0.004275	0.327231491981	0.0243
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0033	0.01016	0.325755723947	0.02822
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0040	0.005646	0.317138454051	0.05387
1	1	Hamma Hamma	2010	Summer	Hood Canal	CMHAMM10_0056	0.01428	0.311078383243	0.07135
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0004	0.02161	0.32421069986	0.03332
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0005	0.1088	0.28850678733	0.1379
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0006	0.05541	0.32018442623	0.04307
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0007	0.03589	0.33285929396	0.007664
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0008	0.03081	0.336440043272	-0.003084
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0009	0.01169	0.336869593602	-0.004408
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0011	0.01089	0.332273320287	0.008763
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0012	0.05541	0.302339480874	0.09539
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0017	0.01516	0.334862009663	0.0002867
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0024	0.0104	0.333251833741	0.00676
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0025	0.0267	0.331372224064	0.01007
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0036	0.0175	0.336808405845	-0.00451
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0041	0.01323	0.335104209236	0.001252
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0046	0.03016	0.312848232848	0.06654
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0048	0.04928	0.304971157109	0.0873
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0049	0.1226	0.243312804486	0.2707
2	2	Nisqually Kalama Creek	2003	Winter	South Puget Sound	CMKALA03_0050	0.01992	0.331632653061	0.009436
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0011	0.02524	0.337911633295	-0.008455
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0030	0.04597	0.32496407135	0.02869
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0031	0.01411	0.335487565445	-0.0007164
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0032	0.01113	0.346301280483	-0.03321
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0035	0.01178	0.342528360402	-0.02117
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0037	0.00371	0.347122156561	-0.03495
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0047	0.01823	0.321366959665	0.04138
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0048	0.0104	0.339282803586	-0.0128
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0053	0.01911	0.342049005098	-0.0214
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0061	0.01105	0.350106018594	-0.04363
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0063	0.01065	0.339365778104	-0.01132
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0077	0.01952	0.341202599325	-0.01735
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0079	0.02016	0.328257469751	0.01999
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0080	0.02049	0.329435981886	0.01658
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0085	0.009275	0.355096059915	-0.05839
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0087	0.03371	0.373090726984	-0.1153
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0089	0.01129	0.335916469533	-0.001915
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0095	0.01815	0.352061770987	-0.05128
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0096	0.01581	0.319757436696	0.04613
3	3	Lilliwaup Creek	2011	Fall	Hood Canal	CMLILLIW11_0099	0.004113	0.337058632977	-0.004941
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0010	0.08356	0.304145032122	0.09258
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0012	0.135	0.295291375291	0.1171
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0018	0.09283	0.323524182077	0.03458
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0019	0.06968	0.321889900303	0.03878
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0022	0.01452	0.342744905475	-0.02191
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0024	0.01629	0.335984258424	-0.002255
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0026	0.02258	0.334516049179	0.002352
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0027	0.01573	0.338413634874	-0.008743
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0028	0.1506	0.28693505507	0.1438
4	4	Sherwood River Fall	1994	Fall	South Puget Sound	CMSHERW94F_0032	0.008952	0.330159505208	0.01522
