beta  ances 
0.279 0.267
0.283 0.276
0.291 0.275
0.290 0.275
0.288 0.274
0.288 0.273
0.287 0.275
0.290 0.276
0.289 0.276
0.291 0.276
0.292 0.276
0.292 0.275
0.293 0.275
0.293 0.276
0.294 0.276
0.294 0.276
0.293 0.275
0.294 0.276
0.294 0.276
0.294 0.276
0.294 0.276
0.294 0.275
0.294 0.275
0.293 0.276
0.293 0.275
0.293 0.275
0.293 0.275
0.293 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.293 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.276
0.292 0.277
0.292 0.277
0.292 0.277
0.292 0.277
0.292 0.277
0.292 0.277
0.292 0.277
