beta  ances 
0.205 0.180
0.205 0.203
0.200 0.203
0.212 0.206
0.207 0.203
0.203 0.212
0.211 0.214
0.207 0.217
0.207 0.217
0.207 0.220
0.212 0.218
0.208 0.223
0.212 0.221
0.212 0.220
0.208 0.219
0.207 0.219
0.206 0.218
0.203 0.214
0.202 0.216
0.201 0.216
0.203 0.215
0.202 0.217
0.203 0.219
0.203 0.222
0.204 0.223
0.203 0.224
0.203 0.224
0.203 0.224
0.202 0.224
0.202 0.224
0.202 0.225
0.203 0.224
0.203 0.226
0.203 0.225
0.203 0.225
0.203 0.224
0.203 0.224
0.203 0.223
0.203 0.224
0.203 0.223
0.204 0.223
0.203 0.223
0.204 0.224
0.204 0.223
0.204 0.221
0.204 0.221
0.204 0.220
0.204 0.220
0.205 0.220
