beta  ances 
0.214 0.233
0.222 0.232
0.217 0.234
0.217 0.231
0.217 0.229
0.218 0.229
0.220 0.232
0.218 0.233
0.217 0.235
0.222 0.235
0.221 0.234
0.222 0.235
0.222 0.234
0.220 0.235
0.221 0.236
0.221 0.237
0.221 0.237
0.222 0.238
0.223 0.237
0.223 0.237
0.223 0.236
0.223 0.237
0.223 0.238
0.223 0.238
0.223 0.238
0.223 0.237
0.223 0.237
0.223 0.236
0.223 0.237
0.222 0.236
0.222 0.236
0.222 0.236
0.222 0.235
0.222 0.235
0.222 0.235
0.223 0.235
0.222 0.235
0.222 0.235
0.222 0.235
0.222 0.235
0.222 0.234
0.222 0.234
0.222 0.234
0.222 0.234
0.222 0.234
0.222 0.233
0.222 0.233
0.222 0.233
0.222 0.233
