beta  ances 
0.212 0.400
0.212 0.402
0.213 0.405
0.214 0.406
0.214 0.405
0.217 0.405
0.215 0.403
0.215 0.406
0.217 0.406
0.217 0.407
0.217 0.407
0.217 0.409
0.217 0.410
0.217 0.410
0.218 0.410
0.218 0.411
0.218 0.411
0.217 0.411
0.217 0.411
0.218 0.411
0.218 0.412
0.218 0.411
0.219 0.410
0.219 0.411
0.220 0.411
0.219 0.411
0.219 0.411
0.219 0.411
0.219 0.411
0.220 0.412
0.219 0.412
0.220 0.412
0.220 0.412
0.220 0.412
0.220 0.412
0.221 0.412
0.220 0.413
0.220 0.413
0.220 0.413
0.220 0.413
0.220 0.413
0.220 0.413
0.220 0.413
0.221 0.413
0.220 0.413
0.221 0.413
0.221 0.413
0.221 0.414
0.221 0.413
