filename	name	pop	ind	encoding	nreads	lenreads
CMSHERW94S_0027.fq.gz	CMSHERW94S_0027	CMSHERW94S	0027	Sanger / Illumina 1.9	8493142	94
CMSNOH10_0105.fq.gz	CMSNOH10_0105	CMSNOH10	0105	Sanger / Illumina 1.9	475736	94
CMHAMM10_0002.fq.gz	CMHAMM10_0002	CMHAMM10	0002	Sanger / Illumina 1.9	1905447	94
CMHAMM10_0005.fq.gz	CMHAMM10_0005	CMHAMM10	0005	Sanger / Illumina 1.9	844336	94
CMHAMM10_0008.fq.gz	CMHAMM10_0008	CMHAMM10	0008	Sanger / Illumina 1.9	1400986	94
CMHAMM10_0011.fq.gz	CMHAMM10_0011	CMHAMM10	0011	Sanger / Illumina 1.9	933160	94
CMHAMM10_0012.fq.gz	CMHAMM10_0012	CMHAMM10	0012	Sanger / Illumina 1.9	1247022	94
CMHAMM10_0014.fq.gz	CMHAMM10_0014	CMHAMM10	0014	Sanger / Illumina 1.9	2275517	94
CMSQUA10_0055.fq.gz	CMSQUA10_0055	CMSQUA10	0055	Sanger / Illumina 1.9	31223	94
CMSQUA10_0058.fq.gz	CMSQUA10_0058	CMSQUA10	0058	Sanger / Illumina 1.9	2071890	94
CMSTILL10_0006.fq.gz	CMSTILL10_0006	CMSTILL10	0006	Sanger / Illumina 1.9	715295	94
CMSTILL10_0009.fq.gz	CMSTILL10_0009	CMSTILL10	0009	Sanger / Illumina 1.9	1031324	94
CMSQUA10_0017.fq.gz	CMSQUA10_0017	CMSQUA10	0017	Sanger / Illumina 1.9	3048181	94
CMSQUA10_0019.fq.gz	CMSQUA10_0019	CMSQUA10	0019	Sanger / Illumina 1.9	807848	94
CMSQUA10_0031.fq.gz	CMSQUA10_0031	CMSQUA10	0031	Sanger / Illumina 1.9	8226	94
CMSNOH10_0106.fq.gz	CMSNOH10_0106	CMSNOH10	0106	Sanger / Illumina 1.9	702840	94
CMSQUA10_0001.fq.gz	CMSQUA10_0001	CMSQUA10	0001	Sanger / Illumina 1.9	858800	94
CMSQUA10_0004.fq.gz	CMSQUA10_0004	CMSQUA10	0004	Sanger / Illumina 1.9	768218	94
CMHAMM10_0015.fq.gz	CMHAMM10_0015	CMHAMM10	0015	Sanger / Illumina 1.9	1231627	94
CMHAMM10_0025.fq.gz	CMHAMM10_0025	CMHAMM10	0025	Sanger / Illumina 1.9	1094115	94
CMHAMM10_0030.fq.gz	CMHAMM10_0030	CMHAMM10	0030	Sanger / Illumina 1.9	9217191	94
CMHAMM10_0056.fq.gz	CMHAMM10_0056	CMHAMM10	0056	Sanger / Illumina 1.9	2953756	94
CMKALA03_0007.fq.gz	CMKALA03_0007	CMKALA03	0007	Sanger / Illumina 1.9	3219331	94
CMKALA03_0011.fq.gz	CMKALA03_0011	CMKALA03	0011	Sanger / Illumina 1.9	6648179	94
CMKALA03_0025.fq.gz	CMKALA03_0025	CMKALA03	0025	Sanger / Illumina 1.9	1886768	94
CMKALA03_0041.fq.gz	CMKALA03_0041	CMKALA03	0041	Sanger / Illumina 1.9	3306490	94
CMKALA03_0050.fq.gz	CMKALA03_0050	CMKALA03	0050	Sanger / Illumina 1.9	2631291	94
CMLILLIW11_0031.fq.gz	CMLILLIW11_0031	CMLILLIW11	0031	Sanger / Illumina 1.9	3130195	94
