# Population CMSKOO10	CMSKOO10_0002,CMSKOO10_0004,CMSKOO10_0006,CMSKOO10_0007,CMSKOO10_0008,CMSKOO10_0009,CMSKOO10_0010,CMSKOO10_0011,CMSKOO10_0012,CMSKOO10_0013,CMSKOO10_0018,CMSKOO10_0033,CMSKOO10_0035,CMSKOO10_0036,CMSKOO10_0040,CMSKOO10_0041
# Population CMUW10	CMUW10_0001,CMUW10_0002,CMUW10_0003,CMUW10_0004,CMUW10_0007,CMUW10_0008,CMUW10_0009,CMUW10_0010,CMUW10_0011,CMUW10_0012,CMUW10_0015,CMUW10_0016
# Batch ID 	Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
2	1	CMSKOO10	CMUW10	c10000	0	0.0494	0.0000	0.0000	0.0399	0.0000	0.0000	0.0367	0.0000	0.0000
2	2	CMSKOO10	CMUW10	c10001	0	-0.0380	0.0000	0.0000	-0.0384	0.0000	0.0000	-0.0383	0.0000	0.0000
2	21	CMSKOO10	CMUW10	c10024	0	-0.0441	0.0000	0.0000	-0.0191	0.0000	0.0000	-0.0194	0.0000	0.0000
2	29	CMSKOO10	CMUW10	c10031	0	0.0542	0.0000	0.0000	0.0452	0.0000	0.0000	0.0438	0.0000	0.0000
2	31	CMSKOO10	CMUW10	c10033	0	-0.0420	0.0000	0.0000	-0.0343	0.0000	0.0000	-0.0347	0.0000	0.0000
2	34	CMSKOO10	CMUW10	c10036	0	-0.0682	0.0000	0.0000	-0.0856	0.0000	0.0000	-0.1023	0.0000	0.0000
2	35	CMSKOO10	CMUW10	c10037	0	0.1151	0.0000	0.0000	0.1178	0.0000	0.0000	0.1181	0.0000	0.0000
2	36	CMSKOO10	CMUW10	c10038	0	0.0047	0.0000	0.0000	0.0017	0.0000	0.0000	-0.0007	0.0000	0.0000
2	40	CMSKOO10	CMUW10	c10043	0	0.0247	0.0000	0.0000	0.0145	0.0000	0.0000	0.0163	0.0000	0.0000
2	42	CMSKOO10	CMUW10	c10045	0	-0.0100	0.0000	0.0000	-0.0021	0.0000	0.0000	0.0001	0.0000	0.0000
2	43	CMSKOO10	CMUW10	c10046	0	-0.0535	0.0000	0.0000	-0.0854	0.0000	0.0000	-0.0853	0.0000	0.0000
2	46	CMSKOO10	CMUW10	c10049	0	0.0492	0.0000	0.0000	0.0113	0.0000	0.0000	0.0109	0.0000	0.0000
2	57	CMSKOO10	CMUW10	c1005	0	0.0145	0.0000	0.0000	0.0143	0.0000	0.0000	0.0143	0.0000	0.0000
2	63	CMSKOO10	CMUW10	c10065	0	0.0133	0.0000	0.0000	0.0137	0.0000	0.0000	0.0137	0.0000	0.0000
2	64	CMSKOO10	CMUW10	c10066	0	-0.0435	0.0000	0.0000	-0.0038	0.0000	0.0000	-0.0038	0.0000	0.0000
2	66	CMSKOO10	CMUW10	c10068	0	-0.0196	0.0000	0.0000	-0.0027	0.0000	0.0000	-0.0030	0.0000	0.0000
2	72	CMSKOO10	CMUW10	c10074	0	0.0422	0.0000	0.0000	0.0299	0.0000	0.0000	0.0316	0.0000	0.0000
2	75	CMSKOO10	CMUW10	c10077	0	0.0146	0.0000	0.0000	0.0013	0.0000	0.0000	0.0028	0.0000	0.0000
2	76	CMSKOO10	CMUW10	c10078	0	-0.0441	0.0000	0.0000	-0.0259	0.0000	0.0000	-0.0258	0.0000	0.0000
2	79	CMSKOO10	CMUW10	c10080	0	-0.0330	0.0000	0.0000	-0.0146	0.0000	0.0000	-0.0149	0.0000	0.0000
2	80	CMSKOO10	CMUW10	c10081	0	0.0139	0.0000	0.0000	0.0144	0.0000	0.0000	0.0142	0.0000	0.0000
2	81	CMSKOO10	CMUW10	c10082	0	0.0320	0.0000	0.0000	0.0237	0.0000	0.0000	0.0229	0.0000	0.0000
2	85	CMSKOO10	CMUW10	c10088	0	0.3789	0.0000	0.0000	0.2783	0.0000	0.0000	0.2792	0.0000	0.0000
2	88	CMSKOO10	CMUW10	c10090	0	-0.0362	0.0000	0.0000	-0.0235	0.0000	0.0000	-0.0245	0.0000	0.0000
2	91	CMSKOO10	CMUW10	c10094	0	-0.0815	0.0000	0.0000	-0.0888	0.0000	0.0000	-0.0883	0.0000	0.0000
2	92	CMSKOO10	CMUW10	c10096	0	0.2212	0.0000	0.0000	0.0795	0.0000	0.0000	0.0812	0.0000	0.0000
2	94	CMSKOO10	CMUW10	c10098	0	-0.0395	0.0000	0.0000	-0.0346	0.0000	0.0000	-0.0346	0.0000	0.0000
2	99	CMSKOO10	CMUW10	c10102	0	-0.0708	0.0000	0.0000	-0.0705	0.0000	0.0000	-0.0714	0.0000	0.0000
2	100	CMSKOO10	CMUW10	c10103	0	-0.1429	0.0000	0.0000	-0.2639	0.0000	0.0000	-0.2639	0.0000	0.0000
2	103	CMSKOO10	CMUW10	c10106	0	-0.0129	0.0000	0.0000	-0.0135	0.0000	0.0000	-0.0136	0.0000	0.0000
2	106	CMSKOO10	CMUW10	c10109	0	-0.0000	0.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	111	CMSKOO10	CMUW10	c10115	0	0.0214	0.0000	0.0000	0.0034	0.0000	0.0000	0.0088	0.0000	0.0000
2	119	CMSKOO10	CMUW10	c10124	0	-0.0279	0.0000	0.0000	-0.0290	0.0000	0.0000	-0.0290	0.0000	0.0000
2	120	CMSKOO10	CMUW10	c10125	0	-0.0323	0.0000	0.0000	-0.0337	0.0000	0.0000	-0.0337	0.0000	0.0000
2	123	CMSKOO10	CMUW10	c10128	0	0.0160	0.0000	0.0000	0.0506	0.0000	0.0000	0.0506	0.0000	0.0000
2	126	CMSKOO10	CMUW10	c10131	0	-0.0065	0.0000	0.0000	-0.0068	0.0000	0.0000	-0.0067	0.0000	0.0000
2	131	CMSKOO10	CMUW10	c10137	0	-0.0312	0.0000	0.0000	-0.0184	0.0000	0.0000	-0.0182	0.0000	0.0000
2	137	CMSKOO10	CMUW10	c10142	0	-0.0358	0.0000	0.0000	-0.0020	0.0000	0.0000	-0.0024	0.0000	0.0000
2	138	CMSKOO10	CMUW10	c10144	0	0.1023	0.0000	0.0000	0.2291	0.0000	0.0000	0.2275	0.0000	0.0000
2	139	CMSKOO10	CMUW10	c10145	0	-0.0376	0.0000	0.0000	-0.0352	0.0000	0.0000	-0.0352	0.0000	0.0000
2	144	CMSKOO10	CMUW10	c10151	0	-0.1072	0.0000	0.0000	-0.2867	0.0000	0.0000	-0.3043	0.0000	0.0000
2	148	CMSKOO10	CMUW10	c10155	0	0.1335	0.0000	0.0000	0.0870	0.0000	0.0000	0.0773	0.0000	0.0000
2	150	CMSKOO10	CMUW10	c10159	0	-0.0404	0.0000	0.0000	-0.0094	0.0000	0.0000	-0.0092	0.0000	0.0000
2	153	CMSKOO10	CMUW10	c10162	0	0.0661	0.0000	0.0000	0.0067	0.0000	0.0000	0.0058	0.0000	0.0000
2	154	CMSKOO10	CMUW10	c10163	0	-0.0451	0.0000	0.0000	-0.0249	0.0000	0.0000	-0.0249	0.0000	0.0000
2	155	CMSKOO10	CMUW10	c10165	0	-0.0643	0.0000	0.0000	-0.0640	0.0000	0.0000	-0.0645	0.0000	0.0000
2	156	CMSKOO10	CMUW10	c10166	0	-0.0389	0.0000	0.0000	-0.0031	0.0000	0.0000	-0.0033	0.0000	0.0000
2	157	CMSKOO10	CMUW10	c10167	0	-0.0402	0.0000	0.0000	-0.0312	0.0000	0.0000	-0.0313	0.0000	0.0000
2	161	CMSKOO10	CMUW10	c10172	0	-0.0087	0.0000	0.0000	-0.0087	0.0000	0.0000	-0.0087	0.0000	0.0000
2	163	CMSKOO10	CMUW10	c10174	0	-0.0091	0.0000	0.0000	0.0093	0.0000	0.0000	0.0087	0.0000	0.0000
2	168	CMSKOO10	CMUW10	c10179	0	0.0021	0.0000	0.0000	0.0071	0.0000	0.0000	0.0093	0.0000	0.0000
2	175	CMSKOO10	CMUW10	c10185	0	0.1062	0.0000	0.0000	0.0647	0.0000	0.0000	0.0640	0.0000	0.0000
2	176	CMSKOO10	CMUW10	c10186	0	-0.0242	0.0000	0.0000	-0.0057	0.0000	0.0000	-0.0061	0.0000	0.0000
2	177	CMSKOO10	CMUW10	c10187	0	-0.0477	0.0000	0.0000	-0.0116	0.0000	0.0000	-0.0117	0.0000	0.0000
2	179	CMSKOO10	CMUW10	c10189	0	0.0099	0.0000	0.0000	0.0074	0.0000	0.0000	0.0065	0.0000	0.0000
2	189	CMSKOO10	CMUW10	c1019	0	-0.0029	0.0000	0.0000	0.0013	0.0000	0.0000	0.0014	0.0000	0.0000
2	183	CMSKOO10	CMUW10	c10192	0	0.0029	0.0000	0.0000	0.0005	0.0000	0.0000	0.0005	0.0000	0.0000
2	186	CMSKOO10	CMUW10	c10197	0	-0.0438	0.0000	0.0000	-0.0310	0.0000	0.0000	-0.0313	0.0000	0.0000
2	191	CMSKOO10	CMUW10	c10200	0	-0.0454	0.0000	0.0000	-0.0447	0.0000	0.0000	-0.0447	0.0000	0.0000
2	192	CMSKOO10	CMUW10	c10201	0	-0.0398	0.0000	0.0000	-0.0403	0.0000	0.0000	-0.0403	0.0000	0.0000
2	193	CMSKOO10	CMUW10	c10202	0	-0.0425	0.0000	0.0000	-0.0406	0.0000	0.0000	-0.0407	0.0000	0.0000
2	198	CMSKOO10	CMUW10	c10209	0	0.0073	0.0000	0.0000	0.0067	0.0000	0.0000	0.0065	0.0000	0.0000
2	206	CMSKOO10	CMUW10	c1021	0	-0.0032	0.0000	0.0000	-0.0001	0.0000	0.0000	-0.0000	0.0000	0.0000
2	202	CMSKOO10	CMUW10	c10215	0	0.1977	0.0000	0.0000	0.0975	0.0000	0.0000	0.0985	0.0000	0.0000
2	203	CMSKOO10	CMUW10	c10217	0	-0.0366	0.0000	0.0000	-0.0380	0.0000	0.0000	-0.0380	0.0000	0.0000
2	67777	CMSKOO10	CMUW10	c10223	0	0.2646	0.0000	0.0000	0.1314	0.0000	0.0000	0.1297	0.0000	0.0000
2	210	CMSKOO10	CMUW10	c10225	0	0.0139	0.0000	0.0000	0.0144	0.0000	0.0000	0.0142	0.0000	0.0000
2	216	CMSKOO10	CMUW10	c10230	0	0.1457	0.0000	0.0000	0.0849	0.0000	0.0000	0.0856	0.0000	0.0000
2	218	CMSKOO10	CMUW10	c10232	0	0.0054	0.0000	0.0000	0.0056	0.0000	0.0000	0.0056	0.0000	0.0000
2	222	CMSKOO10	CMUW10	c10238	0	-0.0315	0.0000	0.0000	-0.0551	0.0000	0.0000	-0.0554	0.0000	0.0000
