contig	locus	stacks_CatID	stacks_SNP	LG	cM	pi_within	dxy	BSname	prob_bayescan	log10(PO)_bayescan	qval_bayescan	alpha_bayescan	Fst_bayescan	mlog10(qval)_bayescan	Fst_weir	locnum	cpvals	zscore	reject_null_LFMM	fdr_pval_LFMM	mlog10(fdr_pval)_LFMM	cM_pad	cM_padded
c4311	4311	28282.0	28282_88	1.0	0.0	0.00437997836271	0.00444109533146	6440.0	0.074607	-1.0935	0.87532	-0.0080902	0.028428	0.0578331483171	0.0137423	6440.0	0.567927220438	-0.612083	False	0.995928532621	0.00177182523288	0.0	0.0
c56875	56875	39970.0	39970_60	1.0	0.0	0.0156724140178	0.0158044829733	6348.0	0.070007	-1.1233	0.88464	-0.019498	0.027983	0.0532334274053	0.0163447	6348.0	0.245649567226	1.24428	False	0.937706642811	0.027933007394	0.0	0.0
c54045	54045	37579.0	37579_17	1.0	0.0	0.019133507102	0.0198398897117	6197.0	0.069907	-1.124	0.88481	0.0047479	0.028735	0.0531499776756	0.0281028	6197.0	0.761392765882	-0.325439	False	0.997092304798	0.0012646354609	0.0	0.0
c2167	2167	10293.0	10293_9	1.0	0.0	0.00766356583022	0.00814846411177	6162.0	0.075208	-1.0898	0.87376	-0.016256	0.028102	0.0586078408085	0.0143122	6162.0	0.502837930029	0.718105	False	0.995928532621	0.00177182523288	0.0	0.0
c69918	69918	50820.0	50820_7	1.0	0.0	0.00367273052873	0.0037341111571	6154.0	0.069207	-1.1287	0.88562	-0.019918	0.027949	0.052752584325	0.0152491	6154.0	0.371955397667	0.956875	False	0.977007116794	0.0101022727469	0.0	0.0
c23377	23377	11724.0	11724_38	1.0	0.0	0.0097799386338	0.010767289853	6270.0	0.15862	-0.72465	0.44106	0.14507	0.035623	0.355502326867	0.0705496	6270.0	0.00711139009528	-2.8847	False	0.282609377537	0.548813431501	0.0	0.0
c18893	18893	7852.0	7852_77	1.0	0.0	0.00534611100969	0.0053106216787	6404.0	0.079208	-1.0654	0.86047	-0.04025	0.02763	0.065264266605	0.00273671	6404.0	0.732973144037	0.365652	False	0.997092304798	0.0012646354609	0.0	0.0
c7037	7037	51187.0	51187_79	1.0	0.0	0.00627918672082	0.00695177255142	6411.0	0.28973	-0.38943	0.27968	0.34315	0.046835	0.553338589046	0.0735694	6411.0	0.448259689785	0.812728	False	0.992567835211	0.0032398024984	0.0	0.0
c38827	38827	24722.0	24722_39	1.0	0.0	0.00317158668687	0.00342126928614	6276.0	0.065707	-1.1529	0.88861	0.01049	0.028784	0.0512888037213	0.0353759	6276.0	0.52158930704	-0.686881	False	0.995928532621	0.00177182523288	0.0	0.0
c55880	55880	39141.0	39141_28	1.0	0.0	0.0115070582701	0.012685314119	6241.0	1.0	1000.0	0.0	1.7344	0.14124	inf	0.196219	6241.0	0.644249869512	0.494896	False	0.995928532621	0.00177182523288	0.0	0.0
c7032	7032	51148.0	51148_30	1.0	0.0	0.00447316578113	0.00465361998714	6248.0	0.10101	-0.94939	0.76305	0.053886	0.030999	0.117447003313	0.0520518	6248.0	0.468304238903	0.777276	False	0.995928532621	0.00177182523288	0.0	0.0
c9532	9532	67786.0	67786_55	1.0	0.0	0.0106698470098	0.01066033429	6331.0	0.094409	-0.98192	0.79848	-0.050874	0.027497	0.0977359574196	-0.00434525	6331.0	0.931263177101	0.0924444	False	0.997931050083	0.000899464326885	0.0	0.0
c83187	83187	61847.0	61847_12	1.0	0.0	0.00376842238429	0.00412806326181	6174.0	0.086409	-1.0242	0.83358	0.045718	0.030236	0.0790527139028	0.0955635	6174.0	0.727924649324	0.372848	False	0.997092304798	0.0012646354609	0.0	0.0
c60227	60227	42827.0	42827_9	1.0	0.0	0.00357613990978	0.00372169949235	6163.0	0.31063	-0.34621	0.26804	0.36227	0.047586	0.571800390736	0.0850774	6163.0	0.559181532817	-0.625963	False	0.995928532621	0.00177182523288	0.0	0.0
c9669	9669	68084.0	68084_56	1.0	0.0	0.00500380454993	0.00500678214363	6336.0	0.081208	-1.0536	0.85338	-0.035536	0.027746	0.0688575395777	0.00135327	6336.0	0.0531282647389	-2.07263	False	0.643775701272	0.191265419391	0.0	0.0
c60695	60695	43220.0	43220_70	1.0	0.0	0.00505131839104	0.0052540122432	6375.0	0.077408	-1.0762	0.86723	0.0021538	0.028805	0.0618657070406	0.0360814	6375.0	0.239399720332	-1.2609	False	0.932797427376	0.0302126603531	0.0	0.0
c7842	7842	57722.0	57722_26	1.0	0.0	0.00353573740328	0.00358739276788	6235.0	0.073607	-1.0999	0.87787	0.023462	0.029385	0.0565697921381	0.0448897	6235.0	0.0640644922395	-1.98459	False	0.691929999371	0.159937839683	0.0	0.0
c28714	28714	16231.0	16231_83	1.0	0.0	0.00794067938822	0.00876615166704	6419.0	0.49345	-0.01138	0.15159	0.65454	0.064938	0.819329447042	0.105405	6419.0	0.00428491205457	-3.06133	False	0.218636315081	0.660277700898	0.0	0.0
c22237	22237	10766.0	10766_25	1.0	0.0	0.00726102013224	0.00750871980182	6225.0	0.074907	-1.0917	0.87459	-0.020049	0.028107	0.0581954926551	0.016981	6225.0	0.218449433006	1.31896	False	0.913261561288	0.0394048211999	0.0	0.0
c47463	47463	32003.0	32003_55	1.0	0.0	0.00522384977614	0.00534018530437	6329.0	0.071707	-1.1121	0.882	-0.0070656	0.028445	0.0545314148682	0.0216764	6329.0	0.670024176478	0.456688	False	0.997092304798	0.0012646354609	0.0	0.0
