LEPname	paper1_LG	cM_rounded	left_right	y
4557	1	52	left_diff	0.5
7289	1	52	left_diff	0.5
19	1	53	left_diff	0.508982035928
125	1	53	left_diff	0.490797546012
539	1	53	left_diff	0.512048192771
1821	1	53	left_diff	0.511904761905
3111	1	53	left_diff	0.518518518519
5448	1	53	left_diff	0.517441860465
5735	1	53	left_diff	0.529032258065
7331	1	53	left_diff	0.490909090909
8750	1	53	left_diff	0.511627906977
9782	1	53	left_diff	0.494047619048
11409	1	53	left_diff	0.528301886792
11494	1	53	left_diff	0.511764705882
2328	1	55	left_diff	0.509090909091
6779	1	57	left_diff	0.488235294118
8648	1	59	left_diff	0.494117647059
10501	1	60	left_diff	0.497005988024
3170	2	56	left_diff	0.493975903614
4737	2	56	left_diff	0.506024096386
3775	2	57	left_diff	0.515151515152
10858	2	57	left_diff	0.511627906977
5676	2	62	left_diff	0.556886227545
7519	2	62	left_diff	0.566473988439
9256	2	62	left_diff	0.562913907285
9419	2	62	left_diff	0.564417177914
8020	2	63	left_diff	0.567073170732
9667	2	63	left_diff	0.58282208589
5515	2	66	left_diff	0.59649122807
5907	2	66	left_diff	0.597633136095
8426	2	66	left_diff	0.591463414634
11953	2	66	left_diff	0.6
8180	2	67	left_diff	0.571428571429
1075	2	68	left_diff	0.60843373494
2202	2	68	left_diff	0.59649122807
2277	2	68	left_diff	0.622641509434
4660	2	68	left_diff	0.609467455621
4682	2	68	left_diff	0.608391608392
5168	2	68	left_diff	0.606060606061
7912	2	68	left_diff	0.616766467066
8297	2	68	left_diff	0.601226993865
11844	2	68	left_diff	0.587878787879
9784	2	69	left_diff	0.589285714286
5647	2	70	left_diff	0.578313253012
4793	2	72	left_diff	0.56976744186
6412	2	72	left_diff	0.566265060241
6554	2	72	left_diff	0.58
11057	4	44	left_diff	0.466257668712
1012	4	45	left_diff	0.453488372093
2670	4	45	left_diff	0.476821192053
4639	4	45	left_diff	0.450292397661
8188	4	45	left_diff	0.452380952381
10730	4	45	left_diff	0.464285714286
1085	4	46	left_diff	0.461538461538
1360	4	46	left_diff	0.464705882353
2023	4	46	left_diff	0.479041916168
8003	4	46	left_diff	0.477707006369
9470	4	46	left_diff	0.469879518072
175	4	47	left_diff	0.46783625731
351	4	47	left_diff	0.47619047619
984	4	48	left_diff	0.486301369863
1217	4	48	left_diff	0.491124260355
9138	4	48	left_diff	0.488095238095
10365	4	48	left_diff	0.5
7029	4	50	left_diff	0.496815286624
9506	4	50	left_diff	0.502958579882
9793	4	50	left_diff	0.497041420118
5763	4	52	left_diff	0.510067114094
8887	4	52	left_diff	0.506097560976
1543	4	54	left_diff	0.524390243902
5866	4	54	left_diff	0.480263157895
9710	4	54	left_diff	0.514792899408
1584	4	58	left_diff	0.484848484848
4095	4	58	left_diff	0.488235294118
3420	4	59	left_diff	0.49375
11177	4	59	left_diff	0.503105590062
6664	4	73	left_diff	0.506024096386
11753	4	73	left_diff	0.490322580645
2496	10	46	left_diff	0.458823529412
2543	10	46	left_diff	0.46783625731
4041	10	46	left_diff	0.468531468531
6353	10	46	left_diff	0.462427745665
7311	10	46	left_diff	0.455621301775
7494	10	46	left_diff	0.461038961039
8205	10	46	left_diff	0.461988304094
8809	10	46	left_diff	0.469512195122
2619	10	48	left_diff	0.496815286624
4821	10	49	left_diff	0.465408805031
6877	10	49	left_diff	0.487654320988
9159	10	49	left_diff	0.487804878049
192	10	50	left_diff	0.479532163743
1877	10	50	left_diff	0.482352941176
7027	10	50	left_diff	0.470930232558
9399	10	50	left_diff	0.459119496855
10372	10	50	left_diff	0.485549132948
11045	10	50	left_diff	0.507042253521
4693	10	51	left_diff	0.485380116959
11613	10	52	left_diff	0.493975903614
3784	13	51	left_diff	0.456953642384
4076	13	51	left_diff	0.450617283951
7606	13	51	left_diff	0.456140350877
9199	13	51	left_diff	0.453987730061
4309	13	53	left_diff	0.464705882353
6746	13	53	left_diff	0.457831325301
