ref	TaqManID
c628	Oke_RAD17085
c799	Oke_RAD4286
c1041	Oke_RAD8698
c1272	Oke_RAD3143
c1932	Oke_RAD22123
c3864	Oke_RAD12294
c4281	Oke_RAD2772
c5025	Oke_RAD8018
c5230	Oke_RAD2827
c6010	Oke_RAD20162
c6889	Oke_RAD11999
c8050	Oke_RAD4787
c9471	Oke_RAD2633
c9849	Oke_RAD12415
c10184	Oke_RAD10459
c12042	Oke_RAD39
c12189	Oke_RAD369
c13132	Oke_RAD8372
c13761	Oke_RAD8326
c13860	Oke_RAD4875
c14300	Oke_RAD5248
c15244	Oke_RAD2522
c15956	Oke_RAD11379
c16014	Oke_RAD11918
c16416	Oke_RAD3948
c16598	Oke_RAD3223
c17773	Oke_RAD4426
c18101	Oke_RAD905
c19857	Oke_RAD27721
c21552	Oke_RAD11928
c22275	Oke_RAD7431
c25487	Oke_RAD11500
c26899	Oke_RAD16205
c27482	Oke_RAD15073
c28170	Oke_RAD3762
c29578	Oke_RAD30079
c31396	Oke_RAD16337
c32462	Oke_RAD8799
c32510	Oke_RAD24191
c32891	Oke_RAD3907
c33150	Oke_RAD3664
c35287	Oke_RAD3375
c35928	Oke_RAD5951
c38809	Oke_RAD2158
c40910	Oke_RAD5276
c41978	Oke_RAD12038
c42592	Oke_RAD3861
c43080	Oke_RAD4864
c46181	Oke_RAD5156
c46272	Oke_RAD12377
c46425	Oke_RAD15315
c48005	Oke_RAD13522
c48269	Oke_RAD19883
c48426	Oke_RAD19121
c48553	Oke_RAD9447
c50317	Oke_RAD8814
c51043	Oke_RAD1168
c51197	Oke_RAD3938
c51579	Oke_RAD618
c51804	Oke_RAD14303
c51997	Oke_RAD8335
c53877	Oke_RAD27616
c53930	Oke_RAD27585
c54389	Oke_RAD2812
c56158	Oke_RAD3480
c56210	Oke_RAD3693
c56766	Oke_RAD16912
c57094	Oke_RAD2414
c57660	Oke_RAD3490
c58258	Oke_RAD2750
c58404	Oke_RAD17316
c58607	Oke_RAD12909
c58660	Oke_RAD5162
c59224	Oke_RAD7178
c59348	Oke_RAD5340
c60767	Oke_RAD17332
c61888	Oke_RAD6703
c62433	Oke_RAD3995
c64355	Oke_RAD7883
c65258	Oke_RAD7512
c65973	Oke_RAD14962
c66140	Oke_RAD11690
c66476	Oke_RAD7638
c67160	Oke_RAD27694
c68223	Oke_RAD3131
c68344	Oke_RAD10591
c68640	Oke_RAD12550
c69181	Oke_RAD8930
c69324	Oke_RAD28497
c71136	Oke_RAD715
c71358	Oke_RAD3715
c71465	Oke_RAD16718
c71470	Oke_RAD4746
c72349	Oke_RAD16763
c73512	Oke_RAD10345
c74643	Oke_RAD3055
c75002	Oke_RAD4538
c75339	Oke_RAD2523
c76227	Oke_RAD14852
c76324	Oke_RAD859
c77644	Oke_RAD11183
c78426	Oke_RAD11444
c79348	Oke_RAD1635
