population_type DH
population_name CMUW10X_0009
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5774
number_of_individual 31

locus_name	CMUW10X09H_0009	CMUW10X09H_0014	CMUW10X09H_0021	CMUW10X09H_0023	CMUW10X09H_0028	CMUW10X09H_0030	CMUW10X09H_0031	CMUW10X09H_0034	CMUW10X09H_0035	CMUW10X09H_0036	CMUW10X09H_0037	CMUW10X09H_0038	CMUW10X09H_0039	CMUW10X09H_0043	CMUW10X09H_0044	CMUW10X09H_0045	CMUW10X09H_0049	CMUW10X09H_0058	CMUW10X09H_0059	CMUW10X09H_0060	CMUW10X09H_0062	CMUW10X09H_0067	CMUW10X09H_0068	CMUW10X09H_0069	CMUW10X09H_0073	CMUW10X09H_0076	CMUW10X09H_0077	CMUW10X09H_0081	CMUW10X09H_0083	CMUW10X09H_0084	CMUW10X09H_0093	
5226_x1	b	b	a	-	b	b	b	a	-	-	a	b	a	b	b	a	b	a	b	b	b	b	b	a	b	b	a	b	b	a	a	
1437_x1	b	a	a	a	a	a	b	b	b	b	a	b	a	a	b	b	a	a	b	a	a	b	a	a	a	b	a	a	a	-	b	
34583_x1	b	a	a	b	b	b	b	a	-	-	b	-	-	a	a	b	b	b	b	a	-	b	a	-	a	a	b	a	b	b	b	
155_x1	a	a	a	b	a	a	a	a	a	a	b	-	a	a	a	a	a	a	b	b	a	a	a	b	b	a	a	a	a	a	a	
50815_x1	b	a	a	a	-	a	a	a	-	-	a	a	b	b	-	a	b	a	-	a	a	a	b	b	b	a	b	a	a	b	b	
3781_x1	b	b	a	b	a	-	a	b	a	b	b	b	b	b	a	a	b	a	b	b	b	a	a	-	a	a	b	b	a	a	b	
49459_x1	b	a	a	a	b	b	-	a	-	b	-	b	b	-	-	-	a	a	b	a	a	a	b	b	b	b	a	b	a	b	a	
78596_x1	a	b	a	b	a	-	b	a	a	a	b	a	b	a	-	a	a	a	b	b	b	b	a	b	b	a	a	b	b	b	a	
69717_x1	b	b	a	a	-	a	a	a	a	a	b	b	-	b	a	b	b	b	a	b	b	a	a	-	a	a	a	a	a	a	a	
69372_x1	b	a	b	b	a	b	b	a	a	a	a	-	a	a	b	b	b	a	a	b	a	b	a	b	a	b	a	a	a	-	a	
28910_x1	b	b	a	a	a	b	a	-	a	-	-	b	b	b	b	a	b	b	b	b	b	a	b	a	a	b	b	b	b	a	a	
56008_x1	a	b	b	b	a	b	a	b	b	a	a	a	a	a	a	a	b	b	a	b	b	b	a	a	a	a	b	a	b	a	a	
87080_x1	a	b	b	a	b	b	-	b	a	b	a	b	b	b	a	-	b	a	a	-	a	a	a	a	b	a	-	b	a	a	a	
67535_x1	a	b	b	a	a	-	-	b	b	b	-	b	-	b	b	b	b	-	b	b	b	b	a	a	a	b	b	a	-	a	a	
60182_x1	-	b	-	a	b	a	b	b	b	b	a	a	b	a	b	a	a	a	-	a	a	b	b	b	a	a	-	b	a	a	b	
5406_x1	b	b	a	b	a	a	a	b	b	b	a	a	b	a	b	b	b	b	b	a	b	a	b	b	b	b	a	a	a	a	b	
86467_x1	b	a	a	a	b	b	b	b	a	-	b	b	b	b	a	b	a	a	b	a	a	a	a	a	a	a	a	b	a	a	a	
11227_x1	b	a	-	b	a	-	a	b	-	b	a	b	-	b	b	a	a	a	a	b	a	a	b	b	a	b	-	a	-	b	a	
12719_x1	a	b	a	b	b	a	a	a	a	-	-	b	b	a	b	-	a	b	a	a	a	a	a	-	a	b	b	b	a	a	a	
37859_x1	a	b	a	b	b	-	a	a	a	b	a	a	a	b	a	a	a	a	a	b	b	a	b	a	a	b	b	a	b	a	b	
39456_x1	a	a	b	a	b	b	b	a	a	a	b	a	a	a	-	b	b	b	b	a	b	b	a	a	b	a	-	b	b	a	b	
12265_x1	-	a	-	a	b	b	b	b	a	-	b	-	b	b	-	b	a	a	-	a	a	a	a	a	a	a	a	b	a	-	a	
2977_x1	-	b	a	a	a	a	a	-	-	a	b	-	b	b	b	a	b	b	b	b	b	a	b	a	a	b	b	b	b	b	a	
1950_x1	b	a	b	a	b	a	b	a	b	a	b	a	a	a	b	b	b	b	a	b	a	a	a	b	a	b	a	a	b	b	a	
27062_x1	b	a	b	b	a	b	-	a	b	-	a	b	a	a	b	b	b	a	a	b	-	b	a	b	a	b	a	a	b	b	a	
63656_x1	b	-	b	a	b	b	a	a	a	a	b	b	b	b	a	b	b	b	b	a	a	a	a	b	b	b	-	a	a	b	b	
48301_x1	b	-	a	b	a	b	a	b	-	-	b	a	b	a	b	b	a	a	a	a	b	a	b	a	b	b	b	b	b	a	a	
318_x1	b	b	a	b	b	-	b	a	b	-	a	a	a	b	b	-	a	b	a	a	b	a	b	a	b	a	b	b	a	a	a	
71140_x1	a	b	b	b	a	-	b	b	a	-	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	b	-	a	b	b	a	
87531_x1	-	a	b	b	b	-	a	a	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	a	a	a	b	b	b	b	a	
46940_x1	b	b	a	-	a	b	a	a	b	-	a	b	-	b	-	b	a	a	b	a	b	a	a	-	b	b	b	b	b	-	b	
9527_x1	b	b	a	b	b	b	b	a	-	b	-	-	-	b	-	b	b	b	b	-	b	a	b	b	a	a	a	b	b	b	b	
16502_x1	b	a	a	a	b	b	b	b	a	b	a	a	b	b	b	a	b	b	b	a	a	a	b	b	a	b	a	a	b	a	b	
47698_x1	b	b	b	a	a	b	b	b	b	b	a	a	b	b	b	a	b	b	a	a	b	b	b	a	a	b	b	b	b	b	b	
63414_x1	a	b	a	b	a	a	a	a	b	a	a	a	a	a	b	a	a	a	a	a	a	a	a	b	a	b	a	a	a	a	b	
13489_x1	a	b	a	b	b	b	a	a	a	b	a	a	a	b	-	a	a	a	a	b	b	a	b	a	a	b	-	a	b	a	b	
3656_x1	b	a	a	a	b	b	b	a	a	-	a	a	b	b	b	a	a	b	b	-	a	a	b	b	a	b	-	a	b	a	b	
48553_x1	a	a	b	a	a	b	a	a	a	a	a	a	a	b	b	-	b	a	b	b	a	b	a	b	a	b	a	b	b	b	a	
39160_x1	a	a	b	b	-	a	b	b	-	-	b	a	a	a	a	b	a	a	a	a	-	b	a	a	a	a	a	a	a	b	b	
59407_x1	a	a	b	b	b	b	b	a	b	a	a	b	b	a	a	b	a	b	a	b	-	b	a	a	a	a	-	b	b	b	b	
23199_x1	a	b	a	a	a	b	b	a	a	-	a	a	a	b	a	a	a	b	a	b	a	b	a	a	a	b	b	a	a	b	b	
66725_x1	b	b	-	a	b	a	b	a	-	-	-	a	a	b	a	a	b	a	a	b	a	a	a	b	a	b	b	a	a	a	b	
54511_x1	b	b	a	a	a	b	a	a	-	a	-	b	b	b	b	a	b	b	b	b	b	a	b	b	b	b	b	b	b	a	a	
10494_x1	a	b	b	a	b	b	b	b	b	a	-	a	a	a	b	a	b	b	b	a	b	a	b	a	b	b	b	b	a	a	a	
43658_x1	-	a	a	a	b	a	b	a	a	b	a	a	a	b	a	a	b	a	b	a	a	a	b	-	a	a	a	a	a	b	-	
15050_x1	b	-	a	-	b	a	a	a	a	b	a	a	b	b	a	a	b	a	a	a	a	-	b	b	b	a	b	a	a	b	b	
29153_x1	-	-	a	b	a	b	a	a	a	a	-	b	a	b	a	-	b	b	a	b	b	a	a	a	b	a	-	a	b	b	a	
4949_x1	a	a	a	b	a	a	a	a	a	a	b	b	-	a	a	a	a	a	b	b	a	a	a	-	b	a	a	a	a	a	a	
25168_x1	a	a	a	-	b	b	a	-	b	b	a	b	b	a	b	-	a	a	b	b	a	b	a	b	a	b	-	a	a	a	a	
13904_x1	-	b	a	b	a	a	-	b	b	b	a	-	-	b	b	a	a	a	a	a	a	a	b	b	a	b	b	a	a	b	a	
43970_x1	b	a	a	b	b	a	b	a	b	a	-	a	a	a	b	b	a	a	a	a	b	b	a	a	b	b	a	a	b	a	b	
70428_x1	b	b	a	a	b	a	b	a	-	-	a	a	a	b	b	a	b	a	a	b	a	a	a	b	a	b	b	a	a	a	b	
45571_x1	a	-	a	b	b	a	a	a	a	-	b	-	b	a	b	a	a	b	a	a	a	a	a	a	a	b	b	b	a	a	a	
66649_x1	-	b	b	-	a	-	b	b	a	-	a	b	b	b	b	a	a	b	b	a	b	a	a	b	b	b	b	a	b	b	a	
14140_x1	a	a	b	a	a	a	b	a	a	b	a	b	-	a	a	-	b	a	a	a	a	b	a	a	a	a	a	a	b	a	b	
29725_x1	-	a	a	b	a	a	a	a	a	a	a	a	b	b	a	-	a	a	b	b	a	b	a	b	b	a	b	a	b	b	a	
4979_x1	a	b	b	b	a	a	b	a	b	a	-	b	b	a	a	b	a	a	a	b	b	b	a	a	b	a	b	b	a	b	a	
1063_x1	-	b	-	a	a	a	a	a	a	-	-	b	a	b	a	b	a	b	a	b	b	a	a	b	a	a	a	b	a	a	a	
47202_x1	a	a	b	a	b	a	b	a	b	a	a	b	a	a	a	a	b	a	-	-	b	b	b	b	b	b	b	b	a	a	b	
5418_x1	a	b	a	b	b	a	a	b	b	-	a	b	a	a	a	-	b	b	b	b	a	b	a	b	b	b	a	b	b	b	b	
37270_x1	b	a	a	a	a	b	a	a	b	a	-	a	a	a	b	b	a	a	b	b	a	b	b	b	b	b	-	b	b	a	b	
60133_x1	a	a	a	a	b	b	b	a	a	a	a	b	a	a	-	a	b	a	a	a	b	a	b	b	b	b	a	b	a	a	a	
25059_x1	a	b	b	-	b	a	-	a	b	a	a	b	a	a	a	a	b	b	-	a	b	b	b	-	-	b	-	b	a	a	b	
73615_x1	b	b	a	a	a	a	a	b	a	b	a	a	a	b	b	a	b	a	b	a	a	a	b	b	b	b	a	a	a	a	a	
Oke_e2ig5-50_x1	a	a	b	b	b	b	a	b	a	b	a	b	b	a	a	b	a	a	a	b	a	a	a	b	a	b	b	a	a	b	a	
18065_x1	a	a	b	b	a	-	b	a	a	a	a	b	b	a	-	b	a	a	b	a	b	a	a	-	b	a	b	b	a	a	b	
53920_x1	b	a	b	a	a	a	b	b	a	a	b	a	b	a	b	a	a	a	a	b	a	b	a	a	b	b	-	a	a	a	a	
16203_x1	b	a	b	a	a	a	-	b	a	a	b	-	b	a	b	a	a	a	a	b	a	b	a	a	b	b	a	a	a	a	a	
75318_x1	a	b	a	b	b	a	-	b	b	b	a	b	-	b	b	-	b	b	b	b	a	b	a	-	b	b	a	b	b	a	b	
20365_x1	a	a	a	a	b	-	b	b	a	a	a	-	-	b	a	-	a	b	a	b	a	b	a	a	a	a	a	a	b	a	b	
18879_x1	b	a	a	a	b	b	b	a	a	b	a	a	b	b	b	a	a	b	-	a	a	a	b	b	a	b	a	a	b	a	b	
9552_x1	a	b	a	b	b	b	a	a	a	b	a	a	a	a	b	a	b	a	a	b	a	a	b	a	b	b	b	a	a	a	a	
78556_x1	b	a	a	b	a	b	-	b	a	b	b	a	a	a	b	b	b	b	b	a	b	a	b	-	a	a	a	a	a	-	b	
65660_x1	a	b	a	b	b	a	a	a	-	-	a	a	a	b	a	a	a	a	a	a	a	a	b	a	a	b	b	a	b	a	b	
20699_x1	b	b	-	a	a	a	b	a	-	a	b	a	a	b	b	a	b	b	b	a	b	a	b	a	b	a	a	b	b	b	b	
40757_x1	a	b	b	b	b	a	b	b	b	b	b	b	a	b	b	a	b	b	a	a	b	b	b	b	b	a	b	a	a	b	a	
49984_x1	a	a	b	a	b	b	b	a	a	a	-	a	a	b	a	-	a	a	a	b	a	b	a	a	a	a	b	b	b	b	b	
3212_x1	b	a	b	a	a	-	b	b	b	b	b	-	a	b	-	-	a	b	b	a	b	b	a	b	b	a	a	b	b	b	b	
44360_x1	a	a	b	a	a	b	-	b	b	b	b	b	b	a	b	b	a	a	b	b	a	a	a	-	a	b	b	a	b	a	b	
82775_x1	b	-	a	b	a	b	a	b	-	b	b	b	-	a	-	-	a	a	b	a	a	a	a	-	b	b	-	b	b	b	a	
34933_x1	a	b	a	b	a	b	b	a	a	a	-	-	-	a	a	b	a	a	b	a	b	b	a	-	b	b	a	a	a	b	a	
61888_x1	b	b	a	a	a	a	-	a	b	b	b	a	b	b	b	a	b	b	a	b	a	b	b	a	a	b	a	a	b	a	a	
57168_x1	a	a	b	b	b	-	b	b	-	a	a	b	b	a	a	b	a	a	a	b	a	b	a	a	a	a	b	b	-	b	b	
64823_x1	b	b	a	b	a	a	a	a	a	a	a	-	-	b	a	a	a	a	a	b	a	b	b	a	b	b	b	b	a	a	b	
48874_x1	b	a	a	b	a	b	-	a	-	-	-	a	b	a	a	a	b	a	a	a	a	b	a	a	a	a	-	b	b	b	b	
21899_x1	-	b	b	-	a	a	b	b	-	b	-	b	a	-	b	a	b	-	a	a	-	b	b	b	b	a	b	a	a	b	a	
37233_x1	a	b	b	b	b	b	b	a	a	b	b	b	a	a	a	-	a	b	a	a	a	a	b	b	b	b	b	a	a	b	a	
Oke_NHERF-123_x1	b	a	b	b	b	a	a	b	b	a	b	b	b	a	b	b	b	a	b	a	b	a	b	b	b	a	a	b	b	a	a	
3761_x1	a	a	b	b	b	a	b	b	b	b	b	a	-	a	a	b	a	a	a	a	a	b	a	a	a	a	a	a	a	b	b	
17981_x1	b	a	b	b	b	a	a	b	b	-	-	b	-	a	b	b	b	a	b	-	b	a	b	b	b	a	a	b	-	a	a	
88261_x1	b	b	-	b	a	a	a	b	a	b	b	b	b	b	a	-	b	a	b	b	b	a	a	b	a	a	a	b	a	a	b	
21955_x1	a	b	a	b	b	-	b	a	b	b	-	-	b	-	a	b	a	a	a	b	b	b	a	a	b	a	b	b	a	a	a	
11727_x1	-	b	a	b	b	-	a	a	-	-	b	b	a	a	b	-	a	b	a	a	a	a	a	a	a	b	-	a	a	a	a	
44250_x1	a	b	b	b	a	a	b	b	a	b	b	a	b	b	a	a	b	b	a	-	-	a	a	a	b	a	a	b	a	b	b	
22166_x1	a	b	b	a	b	b	a	b	b	a	b	a	a	a	b	a	b	b	b	a	b	a	b	a	b	b	-	b	a	a	a	
35049_x1	a	-	a	a	b	b	a	a	-	-	a	b	b	a	b	b	a	a	b	b	a	b	a	b	a	b	b	a	a	a	a	
51939_x1	-	-	b	a	a	a	b	b	a	a	a	b	a	b	b	-	b	b	b	a	a	a	b	b	b	-	a	-	b	a	b	
14014_x1	b	a	a	a	b	a	a	a	-	b	a	a	b	b	a	-	b	a	a	a	-	-	a	b	b	a	-	a	a	b	b	
62714_x1	b	b	b	b	a	a	a	a	a	b	a	-	a	a	a	a	b	a	a	a	-	a	a	b	a	b	b	b	a	b	a	
65477_x1	b	b	a	b	b	b	a	b	a	b	a	b	b	b	a	b	b	b	b	a	b	a	a	a	b	a	b	a	b	b	a	
36608_x1	a	a	a	-	b	a	b	a	a	a	a	a	b	b	a	a	b	a	a	b	b	b	a	b	a	b	a	a	b	a	b	
72535_x1	b	a	a	a	b	b	b	a	b	-	b	-	b	a	a	b	b	b	a	a	a	a	a	b	a	a	b	a	b	a	b	
54540_x2	a	a	a	b	b	a	b	a	a	a	a	a	b	b	a	a	b	a	a	b	b	b	a	b	a	b	a	a	b	a	b	
61498_x1	a	a	a	a	a	a	b	a	-	a	-	a	b	a	a	a	a	a	b	b	a	a	a	a	b	a	a	b	a	a	a	
17784_x1	b	b	a	b	a	-	a	b	a	b	b	b	a	a	-	a	b	a	b	b	a	a	b	a	a	a	a	b	a	a	b	
72216_x1	b	b	b	a	b	a	a	a	a	-	a	a	b	a	-	b	a	a	a	a	b	a	a	a	a	a	a	a	a	b	a	
46979_x1	b	b	a	a	b	a	b	b	b	b	a	a	b	b	b	a	a	a	a	a	b	a	b	a	-	b	b	a	a	a	b	
40148_x1	a	b	a	-	b	a	a	a	-	a	-	a	a	b	b	b	a	a	a	a	-	a	b	b	a	a	a	b	a	a	a	
66793_x1	b	a	a	b	b	a	-	a	a	a	a	b	a	a	a	a	a	a	a	a	-	a	b	b	b	a	a	b	b	b	b	
57553_x1	b	a	a	b	a	-	b	b	a	a	-	b	a	b	b	a	b	b	a	a	a	b	b	a	b	b	a	a	b	a	b	
6607_x1	b	a	a	b	b	-	-	a	-	a	-	a	-	a	a	b	b	b	b	a	a	a	a	b	-	a	-	a	b	b	b	
11072_x1	b	b	a	a	a	a	b	a	-	a	b	-	-	b	-	a	b	b	b	a	b	b	b	a	b	a	a	b	b	a	b	
12507_x1	b	a	a	b	b	a	a	a	-	a	b	a	-	a	a	a	a	a	a	a	a	b	b	b	b	a	a	b	b	b	b	
46960_x1	a	a	a	a	b	-	a	a	b	b	b	a	a	a	a	b	b	a	a	b	a	b	b	a	a	a	a	b	a	a	b	
78338_x1	b	a	b	a	b	b	b	b	b	b	-	b	b	b	b	-	a	a	a	a	b	a	a	a	b	a	a	b	a	a	a	
43945_x1	b	b	a	b	b	a	b	b	b	-	-	a	b	a	-	-	a	b	b	a	-	a	b	a	a	b	-	b	b	a	b	
22078_x1	a	a	b	b	-	b	a	a	a	-	a	a	a	a	b	-	b	b	a	a	a	a	b	a	a	b	a	b	a	b	a	
63593_x1	b	a	b	a	a	b	a	a	-	a	a	a	b	a	a	-	a	a	b	b	b	b	b	a	a	a	b	b	a	b	a	
49211_x1	a	a	b	a	a	a	a	b	a	a	-	b	b	a	b	-	a	a	a	b	a	b	a	a	b	b	a	a	a	a	a	
41562_x1	a	a	b	a	b	b	b	b	b	b	b	b	a	a	a	-	b	b	a	a	b	a	a	b	a	a	a	a	b	a	a	
78978_x1	b	-	a	b	a	a	a	b	b	b	-	-	b	b	b	a	a	a	a	b	a	a	b	b	a	b	b	a	a	b	a	
68168_x1	b	b	b	b	a	a	b	b	a	a	a	b	-	b	b	a	a	b	b	a	b	a	a	-	b	b	b	a	b	b	b	
70462_x1	b	-	a	a	-	b	a	a	-	a	a	-	b	a	a	b	a	a	b	b	-	a	a	a	a	b	a	b	b	a	b	
36866_x1	b	a	a	a	b	a	a	a	-	b	a	-	-	b	a	a	b	a	a	a	a	a	a	b	b	a	b	a	a	b	b	
15402_x1	b	b	b	a	a	a	a	a	a	b	a	b	b	a	a	b	a	a	b	b	a	-	b	b	b	a	b	a	b	b	b	
60938_x1	-	b	b	a	b	b	a	a	b	b	a	a	b	a	a	-	b	a	b	b	b	a	a	b	a	a	b	b	a	b	a	
65726_x1	a	a	a	a	a	a	b	b	-	a	a	-	-	b	a	-	a	a	b	a	a	a	b	a	b	-	a	b	b	a	a	
66918_x1	b	b	a	a	b	a	b	b	-	b	a	a	b	b	-	a	a	a	a	a	a	a	b	a	a	b	-	b	a	a	b	
47248_x1	b	b	a	a	b	a	b	a	-	b	b	a	a	b	-	a	b	b	a	b	a	b	b	-	a	b	a	a	b	b	a	
19050_x1	a	b	b	a	b	b	b	b	b	b	b	-	a	a	b	b	b	-	a	a	b	a	b	a	a	b	b	b	a	a	b	
42446_x1	b	b	a	b	-	b	-	b	a	b	b	a	b	b	-	b	a	b	a	b	a	a	a	a	a	a	b	a	b	b	a	
48811_x1	b	a	-	b	-	b	b	b	b	-	-	b	b	b	-	-	a	a	b	b	a	a	a	a	a	b	-	a	a	b	b	
2075_x1	b	b	a	a	a	b	b	b	a	b	b	b	b	b	-	b	b	a	a	a	b	b	b	b	b	a	b	b	b	a	a	
40146_x1	a	-	b	b	a	a	a	a	b	a	b	b	a	a	a	b	a	a	a	b	b	b	a	a	b	a	b	b	a	b	a	
68671_x1	-	b	-	-	a	b	a	a	-	a	a	b	b	b	b	a	b	b	b	-	b	-	b	b	b	b	b	b	b	a	a	
13233_x1	a	b	b	b	b	a	b	b	b	a	a	a	a	a	b	b	a	b	a	a	a	b	b	a	b	b	a	a	b	b	a	
18895_x1	a	b	b	a	a	b	b	b	b	b	a	b	b	-	b	b	b	b	b	b	b	a	a	a	a	b	b	a	a	a	a	
41095_x1	a	a	b	a	b	b	-	a	-	a	-	a	a	b	a	a	a	a	a	b	a	b	a	-	b	a	-	b	b	a	b	
21443_x1	a	a	b	a	b	b	b	a	b	-	a	a	a	a	b	b	a	b	a	a	a	b	b	a	b	b	a	a	b	b	a	
78794_x1	a	a	b	b	a	b	a	b	a	-	b	-	-	a	b	b	a	b	a	a	b	b	-	a	b	a	a	-	b	-	a	
8503_x1	b	b	a	a	a	a	a	b	a	a	b	b	b	b	b	a	b	b	b	b	b	a	-	a	a	b	b	b	b	-	a	
48918_x1	b	b	a	-	b	b	-	b	-	b	a	b	-	b	a	b	b	b	b	a	b	a	b	a	b	a	b	a	b	b	a	
1274_x1	a	b	-	a	b	b	b	b	a	-	a	-	b	b	a	-	b	a	a	-	-	a	a	a	b	a	-	b	a	a	a	
46933_x1	-	b	a	b	a	b	b	a	-	a	b	a	-	b	a	-	a	a	a	a	b	b	a	b	b	b	b	a	a	b	b	
33302_x1	b	b	a	b	-	b	a	b	-	b	b	a	b	a	b	b	a	a	a	a	b	a	b	-	b	b	b	b	b	a	a	
27969_x1	a	a	b	-	a	a	b	a	b	a	-	-	-	a	b	-	a	a	a	b	a	b	b	b	a	b	a	b	a	a	b	
75453_x1	b	b	a	a	b	a	-	b	-	b	b	a	a	b	b	a	b	b	a	b	a	b	b	-	a	-	a	a	b	b	a	
44387_x1	b	b	-	a	-	a	a	a	a	b	-	b	b	a	a	b	a	a	b	b	-	a	b	b	a	a	b	a	b	-	b	
53011_x1	b	b	a	b	a	b	a	b	a	b	b	b	b	a	a	b	a	a	b	a	a	a	a	a	b	b	a	b	b	b	a	
8005_x1	b	a	b	a	-	a	a	b	b	-	-	-	b	a	b	a	b	b	b	a	a	b	a	a	b	a	a	b	a	b	a	
