catID	LG	locus	cM	best_model	best_loglike	epsilon	first_seg_pval	second_seg_pval	next_model	next_loglike
10072	0	10072_x1	2.016	AB	-3.857718013	0.017857143	0.757026167	NA	AB_AB	-113.6330604
10081	0	10081_x1	67.785	AB	-3.34685794	0	0.938533405	NA	AB_AB	-117.9890996
10106	0	10106_x1	77.872	AB	-3.329267673	0	0.67916352	NA	AB_AB	-103.5554191
10566	0	10566_x1	67.785	AB	-3.774193951	0.018292683	0.937790586	NA	AB_AB	-110.8144292
10727	0	10727_x1	46.849	AB	-3.370668589	0	0.877066811	NA	AB_AB	-118.0129103
10807	0	10807_x1	74.833	AB	-3.529236698	0	0.587053564	NA	AB_AB	-117.4849979
10872	0	10872_x1	126.844	AB	-3.508430167	0	0.58247573	NA	AB_AB	-114.7182694
11593	0	11593_x1	1.088	AB	-3.248237325	0	0.734539317	NA	AB_AB	-98.66902532
11655	0	11655_x1	32.312	AB	-3.349525063	0	0.938165342	NA	AB_AB	-117.3052863
11948	0	11948_x1	22.961	AB	-3.385457072	0	0.81596828	NA	AB_AB	-117.3412183
11994	0	11994_x1	75.44	AB	-3.394671471	0	0.75416039	NA	AB_AB	-115.2909912
12098	0	12098_x1	128.547	AB	-3.833638142	0.017751479	0.817046489	NA	AB_AB	-114.2928475
12248	0	12248_x1	7.286	AB	-3.839018817	0.01754386	0.818105968	NA	AB_AB	-115.6660674
12528	0	12528_x1	4.923	AB	-3.453360326	0	0.761142971	NA	AB_AB	-122.214485
12529	0	12529_x1	74.833	AB	-3.810089964	0.017857143	0.877066811	NA	AB_AB	-113.5854324
12584	0	12584_x1	1.329	AB	-3.359435465	0	1	NA	AB_AB	-119.3746381
12645	0	12645_x1	68.134	AB	-3.529236698	0	0.587053564	NA	AB_AB	-117.4849979
12709	0	12709_x1	15.901	AA_AB	-5.962021275	0.065693431	0.069259587	NA	AB_AB	-49.67279514
12730	0	12730_x1	92.27	AB	-3.565513345	0	0.531045449	NA	AB_AB	-115.4618331
12899	0	12899_x1	108.297	AB	-3.406509624	0	0.755605875	NA	AB_AB	-116.6757903
13122	0	13122_x1	108.297	AB	-3.397537988	0	0.817046489	NA	AB_AB	-118.7262602
13594	0	13594_x1	123.482	AB	-3.786333864	0.018181818	0.937790586	NA	AB_AB	-111.510291
13648	0	13648_x1	85.776	AB	-3.560318103	0	0.593647461	NA	AB_AB	-121.6349622
14160	0	14160_x1	128.547	AB	-3.361118791	0	0.813753412	NA	AB_AB	-114.570958
14211	0	14211_x1	127.985	AB	-3.336950115	0	0.937790586	NA	AB_AB	-115.9197503
14429	0	14429_x1	77.769	AB	-3.575290552	0	0.533544894	NA	AB_AB	-116.8445713
14507	0	14507_x1	127.414	AB	-3.489755602	0	0.642568809	NA	AB_AB	-118.1319973
15113	0	15113_x1	11.273	AB	-15.9129162	0.062025316	0.870778741	NA	AB_AB	-117.2761987
15523	0	15523_x1	48.082	AB	-3.468057932	0	0.7014821	NA	AB_AB	-120.1697411
16191	0	16191_x1	18.645	AB	-3.445355214	0	0.698084055	NA	AB_AB	-117.4011164
16852	0	16852_x1	6.142	AB	-3.371944188	0	1	NA	AB_AB	-120.7601078
1759	0	1759_x1	77.769	AB	-3.784168442	0	0.398927147	NA	AB_AB	-120.4858516
1794	0	1794_x1	77.769	AB	-4.101797096	0	0.241389552	NA	AB_AB	-116.6845973
18533	0	18533_x1	128.841	AB	-3.394671471	0	0.75416039	NA	AB_AB	-115.2909912
18734	0	18734_x1	7.286	AB	-3.971979082	0.017964072	0.587053564	NA	AB_AB	-113.0634902
18890	0	18890_x1	4.923	AB	-3.39520105	0	0.878500471	NA	AB_AB	-120.7833647
18983	0	18983_x1	120.716	AB	-3.732230566	0	0.378537017	NA	AB_AB	-110.8231869
19027	0	19027_x1	81.752	AB	-3.295494036	0	0.872440803	NA	AB_AB	-109.6999699
19306	0	19306_x1	33.988	AA_AB	-4.358004083	0.051724138	0.759794034	NA	AB_AB	-54.33282193
19441	0	19441_x1	128.547	AB	-3.792267447	0.017964072	0.938165342	NA	AB_AB	-112.8837785
20003	0	20003_x1	128.547	AB	-3.397537988	0	0.817046489	NA	AB_AB	-118.7262602
20351	0	20351_x1	128.547	AB	-3.399153292	0	0.939599372	NA	AB_AB	-122.8467584
20917	0	20917_x1	66.781	AB	-3.362031299	0	0.938533405	NA	AB_AB	-118.6907535
20947	0	20947_x1	77.769	AB	-3.769053203	0	0.393301297	NA	AB_AB	-117.7248144
21965	0	21965_x1	129.023	AB	-3.591873208	0	0.471286103	NA	AB_AB	-110.6828295
22031	0	22031_x1	107.808	AB	-3.516629393	0	0.517921031	NA	AB_AB	-108.5481442
22237	0	22237_x1	2.98	AB	-16.09186755	0.062420382	0.567775488	NA	AB_AB	-116.7620694
22342	0	22342_x1	111.676	AB	-3.374470406	0	0.938894974	NA	AB_AB	-120.0761536
22384	0	22384_x1	47.453	AB	-3.362774366	0	1	NA	AB_AB	-120.0644575
22659	0	22659_x1	74.833	AB	-3.298796319	0	0.93662407	NA	AB_AB	-111.7627136
22773	0	22773_x1	19.292	AB	-3.371944188	0	0.939250235	NA	AB_AB	-120.7601078
22843	0	22843_x1	128.547	AB	-3.929176977	0.017857143	0.642568809	NA	AB_AB	-113.7045194
23651	0	23651_x1	112.818	AB	-3.382965962	0	0.877789947	NA	AB_AB	-119.3981686
2429	0	2429_x1	128.547	AB	-3.441721065	0	0.759794034	NA	AB_AB	-120.8298847
24769	0	24769_x1	32.02	AB	-3.282878636	0	1	NA	AB_AB	-111.0603154
25034	0	25034_x1	108.447	AB	-3.134708685	0	1	NA	AB_AB	-95.80957473
2509	0	2509_x1	70.365	AB	-3.358307522	0	0.876330684	NA	AB_AB	-116.6275882
25287	0	25287_x1	8.486	AB	-3.298796319	0	0.93662407	NA	AB_AB	-111.7627136
25453	0	25453_x1	0	AA_AB	-4.866983871	0.018072289	0.160921846	NA	AB_AB	-63.84810448
26770	0	26770_x1	128.547	AB	-3.418296638	0	0.757026167	NA	AB_AB	-118.0605383
27139	0	27139_x1	128.547	AB	-3.456726859	0	0.699797488	NA	AB_AB	-118.785449
27524	0	27524_x1	119.33	AB	-4.311580728	0	0.159215822	NA	AB_AB	-104.5377322
27571	0	27571_x1	77.769	AB	-3.412639679	0	0.627770907	NA	AB_AB	-108.4441545
27947	0	27947_x1	4.807	AB	-3.38786656	0	0.689054273	NA	AB_AB	-110.4788229
28714	0	28714_x1	4.807	AB	-3.246856071	0	0.934961486	NA	AB_AB	-106.2189295
29153	0	29153_x1	101.303	AB	-3.320827354	0	0.874040338	NA	AB_AB	-112.4712251
30110	0	30110_x1	123.482	AB	-3.397537988	0	0.817046489	NA	AB_AB	-118.7262602
30992	0	30992_x1	56.063	AB	-3.298001046	0	0.741591942	NA	AB_AB	-104.210633
3144	0	3144_x1	67.428	AB	-3.780329036	0.018404908	0.937408934	NA	AB_AB	-110.13688
3145	0	3145_x1	117.876	AB	-3.375283089	0	1	NA	AB_AB	-121.4499272
3272	0	3272_x1	41.389	AB	-3.359435465	0	0.938894974	NA	AB_AB	-119.3746381
33494	0	33494_x1	119.548	AB	-3.34685794	0	1	NA	AB_AB	-117.9890996
3417	0	3417_x1	79.564	AB	-4.095499523	0	0.235582426	NA	AB_AB	-113.9323778
