Marker	fam_08_LG	fam_08_cM
48557_x1	1	128.272
18930_x1	9	143.991
73769_x1	1	78.761
11388_x1	27	54.349
27794_x1	32	19.068
49459_x1	16	62.437
41210_x1	32	86.76
69717_x1	3	140.46
69372_x1	35	89.738
56008_x1	16	76.805
23874_x1	20	67.893
41986_x1	12	95.655
67535_x1	30	49.72
60182_x1	1	111.395
48977_x1	15	36.512
54011_x1	2	46.835
2380_x1	3	56.989
37859_x1	9	7.476
63177_x1	20	53.973
47281_x1	17	48.773
2977_x1	22	14.346
1950_x1	12	2.219
2386_x1	3	124.58
49462_x1	20	41.66
8137_x1	4	72.172
63656_x1	3	67.288
48301_x1	15	8.343
13691_x1	26	15.503
10271_x1	37	56.009
21330_x1	13	56.693
57650_x1	29	62.783
68035_x1	6	147.026
13129_x1	20	51.535
45871_x1	13	12.776
47698_x1	21	10.862
2416_x1	20	65.414
4339_x1	37	74.351
6259_x1	29	4.532
6764_x1	28	62.914
67740_x1	27	8.375
56523_x1	2	122.552
55826_x1	23	25.962
27798_x1	3	74.592
29153_x1	1	101.303
61841_x1	23	18.115
5569_x1	32	24.549
5556_x1	19	71.783
16974_x1	20	59.372
11885_x1	9	145.887
14892_x1	17	2.16
53181_x1	15	52.789
53463_x1	29	50.916
5717_x1	23	27.492
14140_x1	9	167.987
56317_x1	28	22.174
1063_x1	3	133.627
55294_x1	2	153.571
73615_x1	10	111.163
1986_x1	4	71.836
21156_x1	15	1.539
53920_x1	20	59.966
19923_x1	4	110.011
74947_x1	18	19.279
20365_x1	24	50.339
18879_x1	9	9.603
9552_x1	25	24.035
48256_x1	9	9.603
78556_x1	12	53.153
60963_x1	9	168.548
73229_x1	17	1.322
40757_x1	27	36.562
11952_x1	3	15.94
15003_x1	14	116.9
3212_x1	25	62.92
76708_x1	4	102.312
70558_x1	1	118.25
54379_x1	23	58.822
9137_x1	2	0
48158_x1	4	3.385
34933_x1	14	114.356
19555_x1	30	61.717
45142_x1	9	1.609
64823_x1	32	93.777
36071_x1	10	112.301
48874_x1	3	22.417
21899_x1	27	63.278
3868_x1	1	92.27
Oke_NHERF-123_x1	24	3.89
62490_x1	1	73.349
88261_x1	31	22.542
21955_x1	9	71.83
11727_x1	17	26.642
44250_x1	5	92.524
45095_x1	8	100.322
5333_x1	19	26.189
35049_x1	5	102.835
50610_x1	2	95.355
18775_x1	27	64.317
34869_x1	37	69.031
15312_x1	20	1.101
14919_x1	8	26.511
72793_x1	21	136.201
74055_x1	17	3.868
54540_x1	12	131.336
62218_x1	17	35.098
2073_x1	26	59.792
57553_x1	5	37.813
37948_x1	4	0
23300_x1	4	76.52
74732_x1	10	97.288
6536_x1	32	69.493
25584_x1	23	64.455
3103_x1	10	81.377
66777_x1	14	118.284
42290_x1	36	57.353
50128_x1	5	143.595
55737_x1	21	37.996
58062_x1	32	46.984
68409_x1	21	136.201
70462_x1	27	65.251
87053_x1	7	87.767
1616_x1	24	12.835
43911_x1	1	12.464
63057_x1	13	56.187
1134_x1	27	39.381
47248_x1	28	46.37
25881_x1	2	144.378
55397_x1	1	31.784
2287_x1	26	38.389
42446_x1	13	48.534
59213_x1	16	1.093
23735_x1	3	22.542
36604_x1	18	28.519
8689_x1	33	56.799
64893_x1	21	117.91
492_x1	30	50.747
20272_x1	19	59.863
40484_x1	29	47.592
78794_x1	21	124.896
6133_x1	28	51.691
2307_x1	22	49.639
50178_x1	10	59.427
11608_x1	4	12.22
48918_x1	7	106.236
16399_x1	25	55.273
21343_x1	13	34.735
11413_x1	21	9.699
5923_x1	35	29.992
47476_x1	10	69.991
75981_x2	33	77.58
75453_x1	28	63.067
51671_x1	23	49.072
76893_x1	17	5.572
88177_x1	1	4.923
74618_x1	5	56.898
46120_x1	23	63.651
Oke_U2034-55_x1	12	65.358
9439_x1	12	10.393
12808_x1	2	29.31
78799_x1	11	0
12617_x1	21	13.698
62719_x1	32	82.546
43044_x1	36	28.13
1337_x1	13	38.232
64008_x1	31	22.542
55355_x1	34	59.656
47090_x1	20	67.279
17141_x1	32	46.719
61082_x1	34	63.618
18316_x1	33	0
45515_x1	15	6.585
10375_x1	8	111.527
292_x1	10	32.482
43510_x1	20	60.096
77600_x1	28	30.165
1906_x1	11	71.136
50983_x1	22	40.207
31782_x1	7	27.044
3396_x1	14	16.65
61877_x1	6	1.271
52814_x1	7	113.532
78160_x1	21	132.84
18533_x1	1	128.841
2619_x2	33	60.623
50691_x1	34	65.833
42100_x1	9	122.275
59904_x1	31	8.342
55332_x1	10	0
48291_x1	8	84.81
41305_x1	30	50.509
66794_x1	29	16.203
71437_x1	26	38.389
49508_x1	17	9.236
60248_x1	10	0
39666_x1	33	12.823
4637_x1	26	20.213
55640_x1	37	53.119
26771_x1	3	22.542
68786_x1	8	11.01
61080_x1	10	119.224
81388_x1	20	16.532
44701_x1	7	71.39
57654_x1	2	117.075
62824_x1	34	62.195
66144_x1	9	78.056
40791_x1	33	14.903
55310_x1	26	42.489
31387_x1	3	60.665
44514_x1	12	1.851
53940_x1	36	24.768
65562_x1	10	123.794
45908_x1	36	45.424
10106_x1	1	77.872
29715_x1	8	27.893
43064_x1	7	75.293
77662_x1	13	62.036
11382_x1	19	67.734
1338_x1	8	118.817
6950_x1	12	19.505
78602_x1	13	69.724
67945_x1	4	144.381
46181_x1	32	34.756
8227_x1	20	68.565
58034_x2	2	153.571
58034_x1	21	5.719
52662_x1	36	48.248
55256_x1	3	66.196
38492_x1	5	58.807
46433_x1	17	22.243
5166_x1	5	8.731
60417_x1	7	122.667
1161_x1	26	43.255
69257_x1	36	27.169
14799_x2	35	90.402
14799_x1	10	118.07
6800_x1	5	79.56
59293_x1	36	41.152
44632_x1	3	127.332
1446_x1	17	26.642
26289_x1	2	62.652
4771_x1	22	14.512
8155_x1	2	20.123
65084_x1	3	11.776
36277_x1	17	55.847
1116_x1	24	74.955
48520_x1	21	112.292
66976_x1	37	43.767
20141_x1	26	0
57945_x1	11	72.937
29531_x1	3	96.453
40944_x1	3	11.408
41902_x1	12	60.651
66312_x1	20	59.858
2989_x1	3	141.071
63928_x1	33	58.967
4345_x1	29	24.206
24585_x1	9	85.666
4152_x1	22	48.168
81099_x1	6	147.488
71534_x2	21	6.27
71534_x1	2	153.571
43285_x1	18	2.003
32252_x1	11	108.724
62293_x1	2	12.899
70938_x1	8	116.562
78697_x1	15	6.013
60027_x1	19	14.497
14008_x1	33	51.208
8708_x1	13	71.558
48522_x1	29	64.949
53292_x1	4	24.018
1778_x1	17	9.402
64401_x1	5	137.042
59927_x1	6	146.121
9917_x1	21	6.27
20531_x1	24	23.03
57865_x1	22	55.334
10203_x1	4	1.022
2450_x1	27	64.919
28678_x1	4	12.22
73851_x1	26	2.016
52051_x1	25	67.479
19522_x1	33	1.832
65860_x1	1	81.934
12302_x1	6	149.456
42599_x1	5	78.173
62407_x1	20	41.046
48128_x1	27	12.89
62647_x1	18	1.719
78836_x1	23	71.244
26657_x1	9	139.369
17383_x1	16	20.06
32666_x1	34	17.445
12947_x1	9	8.62
24454_x1	5	21.368
9169_x1	1	7.397
62009_x1	11	128.118
58790_x1	22	47.647
67817_x1	24	58.874
57608_x1	7	98.095
77515_x1	7	48.981
3990_x1	31	5.888
6208_x1	10	0
23011_x1	29	50.031
45671_x1	4	6.736
46272_x1	1	7.286
68279_x1	2	62.652
2496_x1	17	26.642
61456_x1	3	2.31
34036_x1	2	106.746
24034_x1	26	18.169
78474_x1	27	0.926
64305_x1	30	59.001
73259_x1	8	4.055
11281_x1	32	15.206
63374_x1	18	14.433
60682_x1	15	6.013
48890_x1	6	32.316
13808_x1	12	1.605
3638_x1	11	99.158
50006_x1	10	0
7598_x1	20	65.773
42326_x1	34	35.092
2719_x1	36	70.491
54235_x1	11	76.325
2966_x1	18	64.925
1271_x1	10	97.677
57323_x1	1	20.543
1805_x1	10	2.476
60826_x1	22	63.554
60360_x1	7	139.759
55172_x1	10	73.252
52292_x1	2	62.652
