population_type DH
population_name CMUW10X_0001
distance_function kosambi
cut_off_p_value .0001
no_map_dist 15.0
no_map_size 2
missing_threshold .25
estimation_before_clustering yes
detect_bad_data yes
objective_function ML
number_of_loci 5052
number_of_individual 34

locus_name	CMUW10X01H_0009	CMUW10X01H_0011	CMUW10X01H_0012	CMUW10X01H_0013	CMUW10X01H_0016	CMUW10X01H_0019	CMUW10X01H_0020	CMUW10X01H_0021	CMUW10X01H_0023	CMUW10X01H_0024	CMUW10X01H_0030	CMUW10X01H_0031	CMUW10X01H_0035	CMUW10X01H_0044	CMUW10X01H_0047	CMUW10X01H_0058	CMUW10X01H_0062	CMUW10X01H_0063	CMUW10X01H_0064	CMUW10X01H_0067	CMUW10X01H_0068	CMUW10X01H_0069	CMUW10X01H_0072	CMUW10X01H_0073	CMUW10X01H_0074	CMUW10X01H_0077	CMUW10X01H_0079	CMUW10X01H_0080	CMUW10X01H_0083	CMUW10X01H_0085	CMUW10X01H_0086	CMUW10X01H_0087	CMUW10X01H_0093	CMUW10X01H_0095	
11968_x2	b	b	a	b	a	a	-	a	a	a	a	b	b	a	b	b	a	b	b	a	-	b	b	b	b	b	b	a	b	b	-	b	b	b	
48557_x1	a	a	-	a	b	-	-	a	b	a	b	-	b	-	-	b	a	-	a	b	-	a	b	a	a	b	a	b	a	b	b	b	a	a	
5226_x1	b	a	a	a	b	b	b	a	a	a	-	a	a	-	-	b	b	a	a	a	b	-	-	b	a	b	b	a	b	a	-	b	-	b	
34583_x1	b	b	a	b	-	b	a	a	b	b	a	-	a	-	a	a	-	b	b	b	-	a	a	b	b	b	a	-	b	b	-	a	a	b	
18930_x1	b	b	-	-	b	a	-	-	-	a	a	-	b	b	a	a	b	b	b	b	a	b	b	-	a	b	b	a	a	a	b	a	b	a	
50815_x1	-	b	b	a	b	a	-	b	a	a	-	a	b	b	a	b	b	b	a	a	b	b	b	a	b	a	b	a	b	-	b	b	a	a	
8999_x1	a	b	b	a	a	b	b	a	b	a	a	b	b	b	-	-	a	a	b	a	b	b	b	-	-	a	b	a	b	b	a	a	-	a	
49459_x1	-	b	b	b	b	b	a	b	a	a	a	b	-	-	a	a	b	a	a	b	a	a	b	a	a	b	a	b	b	b	a	b	b	a	
41210_x1	b	b	b	b	a	b	b	b	b	a	b	b	b	a	a	a	b	b	-	b	a	-	a	a	a	b	a	a	a	-	-	b	a	a	
78596_x1	a	a	a	b	b	b	-	b	b	a	a	a	b	-	a	b	a	b	b	-	b	a	a	a	a	a	a	a	b	b	b	b	a	a	
69717_x1	a	b	b	b	-	b	b	a	-	a	-	-	b	a	b	a	b	b	a	b	-	a	b	a	-	b	a	b	b	b	b	a	a	a	
28910_x1	-	b	a	a	b	b	b	a	a	a	b	-	b	a	a	a	-	a	b	a	-	b	b	-	b	b	b	a	a	a	a	a	a	b	
41986_x1	b	a	a	-	b	a	a	b	a	b	-	b	a	-	a	a	a	a	a	a	a	b	b	a	b	a	b	b	a	b	a	a	-	b	
5406_x1	a	b	b	a	a	b	b	b	a	a	-	a	-	a	-	b	b	b	a	a	a	a	-	-	a	-	b	b	b	b	a	b	b	b	
77886_x1	a	b	a	a	a	b	a	b	a	b	b	-	b	a	-	a	a	b	a	b	a	a	a	b	b	b	b	b	b	a	a	a	b	a	
54011_x1	a	b	a	b	b	b	-	b	a	b	-	a	b	b	b	-	b	a	a	b	-	-	a	a	a	a	a	a	b	a	-	b	b	b	
35600_x1	a	a	a	a	b	b	b	b	a	b	b	-	a	-	b	a	b	b	b	a	a	b	-	b	b	b	a	a	b	a	a	b	b	a	
39456_x1	b	b	b	b	b	b	b	a	b	a	a	b	a	a	b	-	b	a	a	a	-	b	a	a	a	a	b	a	a	b	b	a	a	a	
2977_x1	b	b	a	a	b	b	b	-	a	a	-	a	b	-	a	a	a	-	b	a	a	b	b	-	b	b	b	a	a	a	a	a	a	b	
10404_x1	a	b	b	a	a	a	-	a	b	b	a	b	a	b	a	-	a	a	a	b	b	a	a	b	b	a	a	b	a	b	a	b	b	a	
27062_x1	a	b	b	b	a	b	-	a	b	-	-	-	b	a	a	a	b	a	b	a	b	b	-	-	a	b	b	b	a	b	-	b	a	a	
2386_x1	a	b	b	b	a	b	b	a	b	a	b	b	b	b	b	a	b	b	a	b	-	a	b	b	b	b	a	b	b	b	b	a	a	a	
58149_x1	a	b	a	a	b	a	b	a	b	a	a	b	a	a	b	b	b	a	b	a	a	a	b	b	b	b	a	a	a	a	a	b	a	b	
71591_x1	-	a	b	b	a	b	b	a	b	b	b	-	b	a	b	a	b	a	a	a	a	a	a	a	a	a	b	b	a	a	b	b	-	a	
66811_x1	a	a	a	a	a	a	-	a	b	a	-	a	a	a	b	b	a	-	b	b	b	a	a	-	b	a	b	a	a	a	a	a	a	a	
71140_x1	b	a	a	-	b	b	b	b	a	a	b	a	b	a	b	b	b	b	b	a	a	b	b	a	a	b	b	a	b	a	b	a	a	b	
57650_x1	a	b	-	a	b	a	a	a	b	b	a	-	b	a	a	b	b	b	a	b	b	-	b	b	a	a	b	b	b	a	a	a	a	-	
5400_x1	a	b	b	b	a	a	a	a	b	b	a	-	b	-	-	-	b	-	b	a	b	b	b	b	a	-	b	a	a	b	a	b	-	a	
65844_x1	b	b	b	a	a	a	a	-	b	b	a	-	b	b	b	a	b	a	a	a	a	a	-	a	b	a	a	b	a	a	b	a	a	b	
45871_x1	b	-	b	b	-	a	-	-	b	b	a	b	b	b	b	b	-	a	b	a	b	b	a	a	-	-	a	b	a	b	a	a	-	a	
47698_x1	a	a	a	a	b	a	-	a	a	a	a	a	a	b	a	b	b	a	b	a	a	a	a	b	a	a	a	a	a	a	b	b	a	b	
28914_x1	b	b	b	a	a	b	b	a	b	b	a	b	b	b	a	a	b	a	b	b	b	-	a	a	b	b	a	b	a	a	b	b	a	b	
13489_x1	b	b	a	b	a	b	b	a	a	a	a	b	a	b	a	b	b	a	a	a	-	b	a	a	b	a	a	b	a	a	a	b	b	b	
59986_x1	-	a	b	-	a	b	a	a	b	-	a	b	a	a	b	b	b	a	a	b	b	a	-	b	a	a	b	a	a	-	a	b	a	a	
75127_x1	b	b	a	a	b	a	a	a	-	a	a	a	b	b	-	a	b	b	b	-	a	b	-	-	a	b	b	a	a	a	b	a	b	a	
6259_x1	b	b	a	a	a	a	b	a	b	b	-	a	b	-	a	b	b	-	b	b	a	b	-	-	b	a	b	a	a	b	-	b	b	a	
67239_x1	b	a	-	a	a	b	-	b	a	a	a	a	b	-	b	a	b	a	a	a	b	a	-	a	a	a	b	a	b	b	a	b	b	b	
39160_x1	a	a	b	b	a	a	a	b	b	b	a	b	a	b	b	-	a	b	a	b	a	a	b	a	-	a	b	b	b	b	-	b	-	a	
23199_x1	a	b	b	a	a	b	-	b	b	a	b	-	b	-	a	a	b	a	b	b	a	a	-	a	b	b	b	b	b	a	b	a	b	a	
67740_x1	a	a	a	-	a	b	-	b	b	-	b	a	a	a	-	b	a	b	b	b	b	b	a	b	-	b	b	b	a	b	a	a	a	b	
15337_x1	a	a	b	b	b	b	b	b	a	a	a	b	b	a	a	a	a	b	b	b	a	b	a	b	-	b	b	b	b	b	b	b	b	a	
2330_x1	a	a	-	b	b	b	a	-	a	a	b	b	a	-	-	a	a	-	a	a	b	a	b	a	a	b	a	b	b	a	b	a	a	b	
15050_x1	a	b	b	a	b	a	-	b	a	a	b	a	b	b	a	b	b	b	a	a	a	b	b	a	b	a	b	a	b	a	b	b	a	a	
4949_x1	a	a	a	a	b	a	-	a	a	a	a	a	a	a	a	b	b	a	b	a	a	a	a	-	a	a	a	a	a	a	b	b	a	b	
5556_x1	a	b	b	a	b	a	b	b	a	a	b	a	-	b	-	b	b	b	a	a	b	b	b	a	b	a	b	a	b	a	b	b	a	a	
45287_x1	a	a	a	b	b	b	a	b	b	a	a	a	b	b	a	b	a	b	b	-	b	a	a	a	a	b	a	a	b	b	-	b	a	a	
58716_x1	b	b	b	b	a	b	b	b	a	b	a	b	-	-	a	a	b	b	b	a	b	b	a	b	b	a	-	a	b	a	a	a	b	b	
6147_x1	a	a	a	a	a	a	a	b	a	b	b	a	b	b	a	a	a	b	b	b	a	a	b	-	-	b	a	b	b	a	-	b	b	b	
43970_x1	-	b	b	-	b	a	-	a	b	a	a	b	a	a	a	b	b	b	a	b	b	a	b	-	a	a	b	b	b	a	a	a	a	a	
63658_x1	-	a	a	b	b	a	b	a	a	b	a	-	b	a	b	b	a	b	a	a	b	-	a	b	a	a	b	a	a	b	a	b	-	b	
11223_x1	a	b	b	a	a	a	a	a	b	a	-	-	-	-	a	a	b	-	b	a	b	b	a	b	a	b	b	b	a	a	b	a	a	b	
45571_x1	-	-	-	a	b	b	-	b	b	b	a	b	a	b	-	b	-	b	b	b	-	a	b	b	b	a	b	b	a	a	b	b	a	b	
14140_x1	a	a	b	b	a	b	a	-	b	b	b	b	a	b	b	-	a	a	a	a	-	a	a	a	b	a	a	b	b	b	a	b	a	b	
16570_x1	a	a	b	b	b	a	b	b	-	b	b	-	b	b	b	a	-	a	a	b	-	a	-	b	b	a	b	a	a	b	-	-	b	a	
47202_x1	a	b	a	a	b	a	a	-	a	a	-	a	a	a	a	b	a	b	a	b	a	-	b	b	a	a	b	a	b	a	b	b	b	a	
5418_x1	a	a	a	b	-	b	-	b	b	b	b	b	-	a	-	b	-	a	b	a	-	b	a	b	b	a	a	b	b	a	b	a	a	a	
37270_x1	-	a	a	a	b	a	a	b	b	a	b	-	b	b	b	a	-	-	-	a	-	-	-	a	a	b	a	a	a	a	a	b	b	a	
20816_x1	b	b	b	b	a	b	b	a	b	a	a	a	b	b	b	b	-	a	a	b	b	a	a	-	b	b	a	a	b	b	b	b	b	a	
3548_x1	a	a	b	b	a	b	b	a	b	a	a	a	a	a	a	b	b	b	a	b	b	a	a	a	a	b	b	b	a	a	a	a	a	b	
51579_x1	b	b	b	a	a	a	a	-	b	b	b	a	b	b	b	b	b	a	a	a	b	a	b	a	a	a	a	a	a	a	a	a	a	b	
73615_x1	b	a	a	a	b	a	b	b	a	b	b	b	-	b	-	b	a	b	a	b	a	a	a	-	b	a	a	a	b	a	a	a	b	b	
21156_x1	a	b	a	a	a	b	a	b	b	a	b	-	a	a	a	b	b	a	b	a	a	a	-	b	a	b	b	a	a	b	a	b	a	b	
16203_x1	a	b	a	a	b	a	b	a	b	b	b	b	b	b	a	a	a	b	a	b	a	-	b	-	-	a	a	b	a	b	-	b	a	b	
34931_x1	b	a	a	b	a	b	-	b	a	b	b	a	b	-	b	-	-	a	b	a	a	-	a	b	b	b	a	a	a	-	b	b	b	a	
18879_x1	-	a	b	b	a	-	a	a	b	b	b	b	a	b	a	a	a	a	b	a	b	b	b	b	a	b	b	b	a	b	-	b	a	a	
68703_x1	b	b	a	a	a	b	-	b	b	-	b	-	a	a	a	b	b	b	b	a	-	a	b	-	-	b	b	a	a	b	a	b	a	b	
