Linkage Group	Ssa Genome Scaffold	Map Start (cM)	Map End (cM)	Scaffold Start (bp)	Scaffold End (bp)	Map Distance (bp)	Scaffold Distance (bp)	bp/cM	Loci Aligned	Orientation	Ssa Chromosomal Assignment
Ots01	jcf1000732633_0-0	4.71	4.71	256226	1164421	0	908195	NA	3	NA	Ssa23
Ots01	jcf1000298869_0-0	4.71	18.71	1055825	9091671	14	8035846	573,989.00	21	-	Ssa23
Ots01	ccf1000000015_0-0	18.71	35.83	148475	8257101	17.12	8108626	473,634.70	19	+	Ssa23
Ots01	ccf1000000022_0-0	36.14	54.5	296511	6626313	18.36	6329802	344,760.46	17	-	NOT FOUND
Ots01	jcf1001138103_0-0	55.05	55.05	1134693	1931119	0	796426	NA	3	NA	Ssa23
Ots01	jcf1000380043_0-0	59.03	68.3	1146161	6650673	9.27	5504512	593,798.49	9	+	Ssa11
Ots01	ccf1000000001_0-0	71.09	100.17	381665	16981995	29.08	16600330	570,850.41	28	+	Ssa01
Ots01	jcf1000287143_0-0	101.85	108.88	206885	9144812	7.03	8937927	1,271,397.87	18	-	Ssa01
Ots01	jcf1001091944_0-0	108.88	108.88	46305	292041	0	245736	NA	4	NA	Ssa01
Ots01	ccf1000000071_0-0	108.88	109.83	1231529	2214160	0.95	982631	1,034,348.42	7	+	Ssa01
Ots02	jcf1000092099_0-0	3.09	12.02	265107	12554770	8.93	12289663	1,376,222.06	17	+	Ssa12
Ots02	jcf1000979699_0-0	13.36	13.36	470919	2171469	0	1700550	NA	7	NA	Ssa12
Ots02	jcf1000865832_0-0	14.09	26.14	858544	7247829	12.05	6389285	530,231.12	11	-	NOT FOUND
Ots02	jcf1000135673_0-11298582	31.05	60.39	659462	10986047	29.34	10326585	351,962.68	14	+	Ssa12
Ots02	jcf1000901823_0-0	60.39	60.62	1555509	2955778	0.23	1400269	6,088,126.09	3	-	Ssa12
Ots02	jcf1001125409_0-0	60.62	63.54	388048	1209578	2.92	821530	281,345.89	3	+	NOT FOUND
Ots02	ccf1000000029_0-0	71.03	80.77	1482133	5522350	9.74	4040217	414,806.67	13	+	NOT FOUND
Ots02	jcf1001230475_308060-7487661	75.17	91.03	616378	6949148	15.86	6332770	399,291.93	11	-	NOT FOUND
Ots02	jcf1001240005_0-0	81.37	84.83	172790	541253	3.46	368463	106,492.20	5	+	Ssa12
Ots02	ccf1000000045_0-0	83.42	91.03	750513	3828842	7.61	3078329	404,511.04	9	+	NOT FOUND
Ots03	jcf1000746735_0-420402	16.71	17.38	181957	231857	0.67	49900	74,477.61	3	-	NOT FOUND
Ots03	jcf1000320368_0-0	22.83	22.83	4963	197601	0	192638	NA	3	NA	Ssa05
Ots03	jcf1000648323_0-0	26.21	31.88	58555	703962	5.67	645407	113,828.40	4	-	Ssa02
Ots03	jcf1001026760_0-0	31.28	34.3	84437	2654953	3.02	2570516	851,164.24	4	+	NOT FOUND
Ots03	jcf1000146104_0-0	35.72	41.7	314071	2565969	5.98	2251898	376,571.57	8	-	Ssa05
Ots03	ccf1000000021_0-0	41.7	52.1	134235	6581977	10.4	6447742	619,975.19	12	+	NOT FOUND
Ots03	jcf1000364577_0-0	51.68	64.13	2087320	6357752	12.45	4270432	343,006.59	6	-	Ssa05
Ots03	jcf1000643678_0-0	77.07	108.19	2242353	10724607	31.12	8482254	272,566.00	26	+	Ssa25
Ots03	ccf1000000019_0-0	85.73	97.03	784736	4454100	11.3	3669364	324,722.48	3	-	NOT FOUND
Ots03	jcf1000689811_0-0	108.19	112.28	470009	1879067	4.09	1409058	344,512.96	6	-	Ssa25
Ots03	jcf1000084874_0-1206494	113.83	114.6	328857	1149199	0.77	820342	1,065,379.22	3	+	Ssa25
Ots03	jcf1000117836_289506-6671323	116.56	120.45	570567	5800571	3.89	5230004	1,344,474.04	11	+	NOT FOUND
Ots03	ccf1000000048_0-0	123.01	128.33	785621	4179093	5.32	3393472	637,870.68	5	+	NOT FOUND
Ots03	ccf1000000074_0-0	128.33	128.33	259578	2419984	0	2160406	NA	4	NA	Ssa25
Ots03	ccf1000000183_0-0	128.33	128.33	142285	576200	0	433915	NA	3	NA	NOT FOUND
Ots04	ccf1000000122_0-0	3.32	9.48	281893	1045420	6.16	763527	123,949.19	5	+	Ssa24
Ots04	ccf1000000047_0-0	9.48	14.66	872705	4152429	5.18	3279724	633,151.35	10	+	NOT FOUND
Ots04	ccf1000000028_0-0	15.27	19.8	331029	4429151	4.53	4098122	904,662.69	8	+	NOT FOUND
Ots04	jcf1000742255_0-0	18.55	49.86	163193	13803807	31.31	13640614	435,663.17	21	+	Ssa24
Ots04	jcf1001001282_0-0	19.8	21.97	39200	1219768	2.17	1180568	544,040.55	4	+	Ssa24
Ots04	ccf1000002010_0-0	52.81	81.65	372922	10693185	28.84	10320263	357,845.46	13	+	NOT FOUND
Ots04	jcf1000907213_0-0	62.83	88.73	7655584	10411029	25.9	2755445	106,387.84	7	+	NOT FOUND
Ots04	ccf1000000016_0-0	81.03	96.16	225280	7012272	15.13	6786992	448,578.45	16	-	NOT FOUND
Ots04	ccf1000000042_0-0	87.54	96.16	362333	4570434	8.62	4208101	488,178.77	4	-	Ssa11
Ots04	jcf1000955434_0-0	94.33	96.56	102437	1360277	2.23	1257840	564,053.81	4	+	Ssa26
Ots04	jcf1000457308_0-0	96.42	99.6	192690	1314265	3.18	1121575	352,696.54	3	-	Ssa26
Ots04	jcf1000795015_0-0	108.88	111.08	262726	1068356	2.2	805630	366,195.45	5	-	NOT FOUND
Ots04	ccf1000000140_0-0	112.87	113.34	401691	989936	0.47	588245	1,251,585.11	3	-	NOT FOUND
Ots04	jcf1000163947_0-0	115.28	117.58	708616	1498418	2.3	789802	343,392.17	6	+	NOT FOUND
Ots04	jcf1000770267_7806263-8096898	115.28	117.58	110513	225444	2.3	114931	49,970.00	4	+	NOT FOUND
Ots05	jcf1001080326_0-0	3	5.87	81004	849220	2.87	768216	267,671.08	4	-	Ssa15
Ots05	jcf1000384193_114454-1285949	6.29	6.72	57504	362758	0.43	305254	709,893.02	3	-	Ssa15
Ots05	jcf1000058659_0-0	6.72	6.72	130272	1320508	0	1190236	NA	3	NA	NOT FOUND
Ots05	jcf1001099408_0-0	6.72	11.35	198567	2122451	4.63	1923884	415,525.70	4	-	Ssa15
Ots05	jcf1000045654_0-0	11.35	24.56	406825	7575859	13.21	7169034	542,697.50	19	+	NOT FOUND
Ots05	ccf1000002013_0-0	24.75	49.75	608257	7813231	25	7204974	288,198.96	15	-	Ssa15
Ots05	jcf1000369397_0-0	56.45	57.78	2216704	2804759	1.33	588055	442,146.62	3	-	Ssa15
Ots05	jcf1000292699_0-0	63.99	101.6	4756193	21364432	37.61	16608239	441,591.04	33	+	Ssa10
Ots05	jcf1000643678_0-0	96.83	106.25	52398	9446628	9.42	9394230	997,264.33	3	+	Ssa25
Ots05	ccf1000000063_0-0	107.13	111.18	1016193	3176197	4.05	2160004	533,334.32	5	+	Ssa10
Ots06	jcf1000171968_0-0	4.04	27.3	1387868	11992391	23.26	10604523	455,912.42	22	+	Ssa16
Ots06	jcf1000495511_0-0	20.51	23.57	763062	2393774	3.06	1630712	532,912.42	5	-	NOT FOUND
Ots06	jcf1000063268_0-0	23.57	36.13	52133	6708416	12.56	6656283	529,958.84	17	-	Ssa16
Ots06	jcf1000086911_0-0	30.78	43.8	50244	5149666	13.02	5099422	391,660.68	19	+	Ssa16
Ots06	jcf1000281314_0-0	44.4	53.98	762566	4431007	9.58	3668441	382,927.04	7	-	NOT FOUND
Ots06	jcf1000739854_0-0	57.46	86.14	388872	13103280	28.68	12714408	443,319.67	24	-	Ssa18
Ots06	ccf1000000052_0-0	58.49	58.49	1050644	2540699	0	1490055	NA	5	NA	NOT FOUND
Ots06	ccf1000000014_0-0	86.14	103.63	285500	7770978	17.49	7485478	427,986.16	18	+	Ssa18
Ots06	jcf1001216179_0-3309237	102.58	106.53	46728	2077909	3.95	2031181	514,223.04	5	-	Ssa18
Ots07	jcf1000420974_238193-8670878	15.43	48.98	221189	3847970	33.55	3626781	108,100.77	4	+	NOT FOUND
Ots07	ccf1000000075_0-0	19.57	20.6	708463	1678104	1.03	969641	941,399.03	4	+	NOT FOUND
Ots07	jcf1001118580_111520-1327996	19.57	20.6	250157	978950	1.03	728793	707,566.02	3	-	NOT FOUND
Ots07	ccf1000000050_0-0	20.6	27.27	372842	4087864	6.67	3715022	556,974.81	12	-	Ssa17
Ots07	jcf1001158418_0-0	23.31	26.86	196213	2015143	3.55	1818930	512,374.65	4	+	Ssa16
Ots07	jcf1000612788_0-0	29.2	48.98	159985	3393504	19.78	3233519	163,474.17	8	+	Ssa17
Ots07	ccf1000000039_0-0	38.96	56.27	460619	2520568	17.31	2059949	119,003.41	6	+	Ssa17
Ots07	ccf1000000007_0-0	61.21	74.75	649638	11140408	13.54	10490770	774,798.38	12	+	Ssa22
Ots07	jcf1000035993_0-0	75.47	91.74	598250	5480297	16.27	4882047	300,064.35	14	+	Ssa22
Ots07	ccf1000002003_0-0	86.97	107.78	894231	3863290	20.81	2969059	142,674.63	11	+	Ssa22
Ots07	jcf1000791061_0-0	91.92	103.49	156696	6265490	11.57	6108794	527,985.65	19	-	Ssa22
Ots07	jcf1000767683_315971-3288291	105.84	106.6	364989	1718751	0.76	1353762	1,781,265.79	5	-	Ssa22
Ots07	jcf1000828709_0-0	116.92	118.85	24227	1215631	1.93	1191404	617,307.77	4	+	Ssa22
Ots07	jcf1000190701_0-0	121.28	121.47	137212	506185	0.19	368973	1,941,963.16	3	-	NOT FOUND
Ots08	jcf1000790033_0-0	0	1.08	179317	834821	1.08	655504	606,948.15	3	-	Ssa09
Ots08	jcf1001054111_0-0	3.24	3.24	116328	1182024	0	1065696	NA	3	NA	Ssa09
Ots08	jcf1000217495_0-0	7.08	14.28	654174	5633251	7.2	4979077	691,538.47	15	+	Ssa09
Ots08	jcf1000919488_0-0	11.58	15.28	612710	3085985	3.7	2473275	668,452.70	8	+	Ssa09
Ots08	jcf1000527161_0-0	16.14	31.2	143853	3805202	15.06	3661349	243,117.46	5	-	Ssa09
Ots08	ccf1000000044_0-0	40.23	52.24	810222	4337733	12.01	3527511	293,714.49	7	-	Ssa09
Ots08	jcf1000412739_0-0	51.77	55.92	110350	5553132	4.15	5442782	1,311,513.73	9	+	NOT FOUND
Ots08	jcf1000276227_0-0	55.92	64.6	3536070	5986453	8.68	2450383	282,302.19	7	+	Ssa09
Ots08	jcf1000375450_0-0	72.57	87.29	451740	2972777	14.72	2521037	171,266.10	9	+	Ssa09
Ots08	ccf1000000041_0-0	84.88	89.75	691961	3884504	4.87	3192543	655,552.98	9	-	Ssa09
Ots08	jcf1000086655_0-0	96.02	97.18	376960	657774	1.16	280814	242,081.03	3	-	Ssa09
Ots08	jcf1001017014_0-0	100	102.31	737045	1832707	2.31	1095662	474,312.55	3	+	NOT FOUND
Ots08	ccf1000000149_0-0	102.66	105.02	1969	607139	2.36	605170	256,427.97	3	-	Ssa09
Ots09	ccf1000002007_0-0	0	2.56	235578	674438	2.56	438860	171,429.69	3	-	Ssa13
Ots09	jcf1000708316_0-0	4.41	8.19	558285	3390704	3.78	2832419	749,317.20	6	+	NOT FOUND
Ots09	jcf1000285055_0-0	8.67	12.73	267025	2943543	4.06	2676518	659,240.89	11	-	Ssa13
Ots09	ccf1000000004_0-0	10.58	25.17	154097	12782226	14.59	12628129	865,533.17	17	+	Ssa13
Ots09	jcf1000668412_0-0	23.17	27.42	1004990	4195254	4.25	3190264	750,650.35	5	+	Ssa13
Ots09	ccf1000000066_0-0	32.64	35.96	547276	2739250	3.32	2191974	660,233.13	3	-	Ssa13
Ots09	ccf1000000010_0-0	38.02	51.97	786158	8937590	13.95	8151432	584,332.04	10	-	Ssa13
Ots09	jcf1000580255_0-0	54.26	65.27	4184092	7395332	11.01	3211240	291,665.76	6	-	Ssa13
Ots09	jcf1000003109_1252771-4646026	65.88	71.61	913550	3393095	5.73	2479545	432,730.37	5	+	NOT FOUND
Ots09	jcf1000602255_0-0	71.04	78.98	362220	3236215	7.94	2873995	361,964.11	6	-	NOT FOUND
Ots09	jcf1000140244_0-0	75.55	86.52	788894	3750913	10.97	2962019	270,010.85	4	+	Ssa06
Ots09	ccf1000000034_0-0	91.52	106.46	801514	4990885	14.94	4189371	280,413.05	13	+	NOT FOUND
Ots09	jcf1000658742_55288-1048857	92.88	93.49	246505	900522	0.61	654017	1,072,159.02	4	+	NOT FOUND
Ots09	ccf1000000067_0-0	94.41	106.46	94641	2810302	12.05	2715661	225,366.06	11	-	Ssa03
Ots09	jcf1000162745_0-0	100.91	105.56	108035	3124073	4.65	3016038	648,610.32	15	-	Ssa06
Ots09	ccf1000000141_0-0	101.82	104.43	83537	881587	2.61	798050	305,766.28	4	-	NOT FOUND
Ots09	jcf1000379226_0-0	103.87	107.3	132118	944565	3.43	812447	236,865.01	3	+	NOT FOUND
Ots09	jcf1000189325_299285-549739	109.15	109.15	80059	116169	0	36110	NA	4	NA	NOT FOUND
